[2026-07-07 11:41:41] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-06
正在获取论文...
[arXiv] 2026-07-06 | Convergence analysis of a MAC scheme for the barotropic Euler system
[arXiv] 2026-07-06 | Brownian Motion in Orthogonal and Symplectic Groups
[arXiv] 2026-07-06 | Alleviating the Hubble Tension with Smooth Sign-Switching Dark Energy: Full CMB Constraints with DESI and PantheonPlus
[arXiv] 2026-07-06 | RANPilot: Making AI Functionalities Robust to Dynamic O-RAN Reconfigurations
[arXiv] 2026-07-06 | Canonical quantization of neurons
[arXiv] 2026-07-06 | Long-range interactions and Anderson localisation for one-dimensional high-contrast resonator chain
[arXiv] 2026-07-06 | VASP Plugins: Linking the Vienna ab-initio Simulation Package with Python
[arXiv] 2026-07-06 | On the Gevrey well-posedness for weakly hyperbolic biwave type equations
[arXiv] 2026-07-06 | Wasserstein Residuals: Learning Gradient Flows from Population Dynamics
[arXiv] 2026-07-06 | Biophysics of the Pyrenoid
[arXiv] 2026-07-06 | ASSEMCAD: Production-Ready CAD Assembly Generation from Natural Language
[arXiv] 2026-07-06 | Knowledge Knows, Verbalization Tells: Disentangling Latent Directions for Mathematical Solvability in LLMs
[arXiv] 2026-07-06 | No Distributed Quantum Advantage for 3-Coloring Rooted Trees and 2-Coloring Even Cycles
[arXiv] 2026-07-06 | On two questions of Qi on saturated filtrations
[arXiv] 2026-07-06 | Towards Fully Dynamic Omnitrees: Moment-Conserving Anisotropic Compression With Wavelets
[arXiv] 2026-07-06 | Markov Decision Process Approximation Methods for Water Distribution Network Inspection and Maintenance: A Case Study of the U.S. Virgin Islands
[arXiv] 2026-07-06 | A Modular O-RAN Testbed Based on SRS Open Source O-CU/O-DU and Massive Beams Modular O-RU
[arXiv] 2026-07-06 | The free state for the Potts model on Cayley trees is either extremal or glassy
[arXiv] 2026-07-06 | SoPlasmaFoam: an OpenFOAM-based solver for streamer and dielectric barrier discharges with adaptive mesh refinement
[arXiv] 2026-07-06 | Chern Character for Discrete Spectrum Partition Function
[arXiv] 2026-07-06 | An SO(3) Gauge Theory of Turbulence with Spontaneous Symmetry Breaking
[arXiv] 2026-07-06 | PDEFlow: Autonomous Agentic PDE Pipelines for Neural Operator Learning and Solver-Free Inference
[arXiv] 2026-07-06 | When Agents Lie: Premeditation, Persistence, and Exploitation in Repeated Games
[arXiv] 2026-07-06 | Critical behavior of the driven Curie-Weiss model
[arXiv] 2026-07-06 | From Failing to Passing: Evolving Natural Language Prompt Optimization Rules for LLM Code Generation
[arXiv] 2026-07-06 | Fragile single-cone Dirac quantum walks in two dimensions
[arXiv] 2026-07-06 | Toward Personalized Social Robots for Child Well-being: Data Requirement Principles from a Recommender-System Perspective
[arXiv] 2026-07-06 | RepoTrace: Browser-Assisted Evidence Collection for GitHub Research Datasets
[arXiv] 2026-07-06 | Any Axes Are Allowed: A Characteristic-Axis Integral Diagnosis of Factor Models
[arXiv] 2026-07-06 | Lyman-alpha haloes in the aftermath of reionisation
[arXiv] 2026-07-06 | Rethinking Benchmarks and Models for Enzyme Specificity Prediction
[arXiv] 2026-07-06 | Can Code Specify a System Precisely Enough to Formally Verify It?
[arXiv] 2026-07-06 | Exceptional rational functions of degree 5 over finite fields: classification by monodromy, ramification, and the Riemann-Hurwitz formula
[arXiv] 2026-07-06 | Context-Aware ASR for Mandarin Technical Lectures
[arXiv] 2026-07-06 | Consistent and Editable: A Balanced Framework for Text-Guided Video Editing
[arXiv] 2026-07-06 | Root Dynamics of Differentiated Polynomials with Rotationally Invariant Structure
[arXiv] 2026-07-06 | A Real-Time Remote-Sensing-Guided Decision-Support Framework for Cloud-Seeding Operations: A Field Demonstration Using Himawari-9 and C-band Phased Array Weather Radar
[arXiv] 2026-07-06 | On the Genealogy of Machine Learning Weather Prediction
[arXiv] 2026-07-06 | RUFNet: Query-Guided Support Mask Refinement and Uncertainty Fusion based on Hybrid Mamba for Few-Shot Brain Tumor Segmentation
[arXiv] 2026-07-06 | Your Agent's Memories Are Not Its Own: Forged Reasoning Attacks on LLM Agent Memory and Defenses
[arXiv] 2026-07-06 | Semigroup approach to admissible representations of the infinite symmetric group
[arXiv] 2026-07-06 | Geometric Characteristics of Subproblems in Ising-Machine-Assisted Large Neighborhood Search
[arXiv] 2026-07-06 | Reaction-boundary variance and adjoint-consistent local-volatility projection
[arXiv] 2026-07-06 | Pathological Regimes of Closed-Loop Recommendation Systems over Social Networks
[arXiv] 2026-07-06 | Geometry-aware Depth-guided Representation Learning for Structure-preserving Low-light Image Enhancement
[arXiv] 2026-07-06 | In-Band Scattering and Absorption of Infrared Blocking Foam Filters for Millimeter-wave Cameras
[arXiv] 2026-07-06 | Cluster parking functions II: $q,t$-dihedral sieving via diagonal coinvariants
[arXiv] 2026-07-06 | Steering the dynamics by controlling the temporal interaction network
[arXiv] 2026-07-06 | The syntax of wh-agreement in Yemeni Ibbi Arabic
[arXiv] 2026-07-06 | Joint Velocity Slope Diffusion Prior for Structurally Constrained Velocity Model Building
[arXiv] 2026-07-06 | Extending the Bloch sphere model to an N-qubit system
[arXiv] 2026-07-06 | Optical switching of antiferromagnetic domains by nonreciprocal heat current
[arXiv] 2026-07-06 | Multi-Robot Open Adaptive Teaming Across Unseen Environments, Partners, and Scales
[arXiv] 2026-07-06 | Functionalization of $g$-wave altermagnets: spin-splitter effect enabled by surfaces
[arXiv] 2026-07-06 | Super-molasses returns: All optical near-resonance laser cooling and trapping of neutral atoms from background vapor
[arXiv] 2026-07-06 | Truncated Multiple Zeta Values
[arXiv] 2026-07-06 | When Words Predict Workload
[arXiv] 2026-07-06 | Sensitivity Sampling with Predictions for k-Means Clustering
[arXiv] 2026-07-06 | Using Process Mining to Generate AI Agents from Software Engineering Process Records
[arXiv] 2026-07-06 | Chirped Floquet linear drives activate forbidden charge-to-spin conversions in Rashba two-dimensional electron gases
[arXiv] 2026-07-06 | Detection of scintillation light in noble gases with wavelength-shifting optical fibers
[arXiv] 2026-07-06 | Approximation of Random Differential Equations Driven by Physical Brownian Motion with Fast Oscillating Noise
[arXiv] 2026-07-06 | Closing the Reality Gap: Zero-Shot Sim-to-Real Deployment for Dexterous Force-Based Grasping and Manipulation
[arXiv] 2026-07-06 | Efficient Perception in Automotive Detection and Tracking Using Neuromorphic Computing
[arXiv] 2026-07-06 | Focusing and light collection effects on plasma-induced frequency-resolved optical switching (PI-FROSt) traces
[arXiv] 2026-07-06 | Size Effect of Monovalent Ions on Polyelectrolyte Brushes
[arXiv] 2026-07-06 | Symmetry all the way down
[arXiv] 2026-07-06 | Unsupervised Detection of Underground Tunnels in Ground-Penetrating Radar Using Depth-Restricted Reconstruction Scoring
[arXiv] 2026-07-06 | Uniform distributions in nonuniform systems: Wall potentials generating constant density profiles in classical density functional theory
[arXiv] 2026-07-06 | Euclidean $\vee$-systems and real PK arrangements
[arXiv] 2026-07-06 | Subcube Stifling
[arXiv] 2026-07-06 | SynSFX: Multi-Model Sound Effects Synthesis Dataset for Deepfake Detection and Evaluation
[arXiv] 2026-07-06 | Amplitude-Independent Robust Snapshot 6-D Radio SLAM via a Uniffed Angle-Delay Formulation
[arXiv] 2026-07-06 | Combinatorial Compression in Nucleobase Self-Assembly Governed by Seeding Kinetics
[arXiv] 2026-07-06 | Psychological features of dispute content and public acceptance of AI in legal adjudication: evidence for systematic variation beyond individual differences
