[2026-04-14 10:11:49] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-13
正在获取论文...
[arXiv] 2026-04-13 | CDPR: Cross-modal Diffusion with Polarization for Reliable Monocular Depth Estimation
[arXiv] 2026-04-13 | Quantitative propagation of chaos for particle systems with bounded kernels and multiplicative noise
[arXiv] 2026-04-13 | FlowCoMotion: Text-to-Motion Generation via Token-Latent Flow Modeling
[arXiv] 2026-04-13 | Evolution of effective magnetic exchange interaction under spin dilution in SrIr$_{1-x}$Sn$_x$O$_3$
[arXiv] 2026-04-13 | PRISM Risk Signal Framework: Hierarchy-Based Red Lines for AI Behavioral Risk
[arXiv] 2026-04-13 | Exact Outage Probability and Ergodic Capacity Analysis of NOMA in Rayleigh Fading Channels
[arXiv] 2026-04-13 | Contexty: Capturing and Organizing In-situ Thoughts for Context-Aware AI Support
[arXiv] 2026-04-13 | Topological charge of fermions and Landau theory of Fermi liquid
[arXiv] 2026-04-13 | Intelligent Approval of Access Control Flow in Office Automation Systems via Relational Modeling
[arXiv] 2026-04-13 | EgoFun3D: Modeling Interactive Objects from Egocentric Videos using Function Templates
[arXiv] 2026-04-13 | RTMC: Step-Level Credit Assignment via Rollout Trees
[arXiv] 2026-04-13 | Uncertainty-Aware Web-Conditioned Scientific Fact-Checking
[arXiv] 2026-04-13 | A Spectral-based ISS small-gain theorem for boundary control systems with infinite couplings
[arXiv] 2026-04-13 | On two conjectures for generalized off-diagonal Schur numbers
[arXiv] 2026-04-13 | Parameterized Algorithms and Complexity for Function Merging with Branch Reordering
[arXiv] 2026-04-13 | Test-time Scaling over Perception: Resolving the Grounding Paradox in Thinking with Images
[arXiv] 2026-04-13 | Geometrization of the Schrödinger Model for the Minimal Representation of an Even Orthogonal Group: The de Rham Setting
[arXiv] 2026-04-13 | Emulation-Completeness of Programming Languages
[arXiv] 2026-04-13 | Inferring World Belief States in Dynamic Real-World Environments
[arXiv] 2026-04-13 | Min-$k$ Sampling: Decoupling Truncation from Temperature Scaling via Relative Logit Dynamics
[arXiv] 2026-04-13 | Data-Efficient Semantic Segmentation of 3D Point Clouds via Open-Vocabulary Image Segmentation-based Pseudo-Labeling
[arXiv] 2026-04-13 | Resonant Leptogenesis in a Two-Triplet Type-II Seesaw: A Dynamical Origin of Suppressed Lepton Flavor Violation
[arXiv] 2026-04-13 | Compiler Framework for Directional Transport in Zoned Neutral Atom Systems with AOD Assistance: A Hybrid Remote CZ Approach
[arXiv] 2026-04-13 | TraversalBench: Challenging Paths to Follow for Vision Language Models
[arXiv] 2026-04-13 | LumiMotion: Improving Gaussian Relighting with Scene Dynamics
[arXiv] 2026-04-13 | On Switched Event-triggered Full State-constrained Formation Control for Multi-vehicle Systems
[arXiv] 2026-04-13 | ArtiCAD: Articulated CAD Assembly Design via Multi-Agent Code Generation
[arXiv] 2026-04-13 | WebForge: Breaking the Realism-Reproducibility-Scalability Trilemma in Browser Agent Benchmark
[arXiv] 2026-04-13 | Back to the Barn with LLAMAs: Evolving Pretrained LLM Backbones in Finetuning Vision Language Models
[arXiv] 2026-04-13 | Ozone: A Unified Platform for Transportation Research
[arXiv] 2026-04-13 | Fast-SegSim: Real-Time Open-Vocabulary Segmentation for Robotics in Simulation
[arXiv] 2026-04-13 | Bootstrapping Video Semantic Segmentation Model via Distillation-assisted Test-Time Adaptation
[arXiv] 2026-04-13 | Progressive Deep Learning for Automated Spheno-Occipital Synchondrosis Maturation Assessment
[arXiv] 2026-04-13 | On sections of Lefschetz fibrations and bundles over 2-complexes
[arXiv] 2026-04-13 | CMedTEB & CARE: Benchmarking and Enabling Efficient Chinese Medical Retrieval via Asymmetric Encoders
[arXiv] 2026-04-13 | Neural-Network Inversion for the Temporal CT Multi-Source Bundle Problem: Per-Bundle Statistical Limits and Near-Optimal Performance
[arXiv] 2026-04-13 | LiveGesture Streamable Co-Speech Gesture Generation Model
[arXiv] 2026-04-13 | Non-Monotonic Marangoni Suppression of Hydrodynamic Coarsening in Bicontinuous Liquid-Liquid Phase Separation
[arXiv] 2026-04-13 | HTAA: Enhancing LLM Planning via Hybrid Toolset Agentization & Adaptation
[arXiv] 2026-04-13 | ReXSonoVQA: A Video QA Benchmark for Procedure-Centric Ultrasound Understanding
[arXiv] 2026-04-13 | TAMISeg: Text-Aligned Multi-scale Medical Image Segmentation with Semantic Encoder Distillation
[arXiv] 2026-04-13 | EvoNash-MARL: A Closed-Loop Multi-Agent Reinforcement Learning Framework for Medium-Horizon Equity Allocation
[arXiv] 2026-04-13 | Long-range phase coexistence models with degenerate potentials
[arXiv] 2026-04-13 | ZoomR: Memory Efficient Reasoning through Multi-Granularity Key Value Retrieval
[arXiv] 2026-04-13 | Quantum Measurement Statistics as Bayesian Uncertainty Estimators for Physics-Constrained Learning
[arXiv] 2026-04-13 | The Gated-Service M/GI/1 Queue with Single Vacations and Its Application to Batch-Service Queues
[arXiv] 2026-04-13 | Forecasting Return Time of Extreme Precipitation by Large Deviation Theory
[arXiv] 2026-04-13 | Compliant But Unsatisfactory: The Gap Between Auditing Standards and Practices for Probabilistic Genotyping Software
[arXiv] 2026-04-13 | AOP-Smart: A RAG-Enhanced Large Language Model Framework for Adverse Outcome Pathway Analysis
[arXiv] 2026-04-13 | Putting the Brauer back in Brauer-Picard
[arXiv] 2026-04-13 | On periodic homotopy and homology equivalences of spaces
[arXiv] 2026-04-13 | Sharp Interface Limit for a Mass-Conserving Navier-Stokes/Allen-Cahn System with Different Viscosities
[arXiv] 2026-04-13 | Optimal Kinodynamic Motion Planning Through Anytime Bidirectional Heuristic Search with Tight Termination Condition
[arXiv] 2026-04-13 | Berry curvature and field-induced intrinsic anomalous Hall effect in an antiferromagnet FeTe
[arXiv] 2026-04-13 | Wideband Sensing with Dynamic Metasurface Antennas under Realistic Phase Response Modeling
[arXiv] 2026-04-13 | Finetune Like You Pretrain: Boosting Zero-shot Adversarial Robustness in Vision-language Models
[arXiv] 2026-04-13 | The magnetic sensitivity of the Ca II H and K lines
[arXiv] 2026-04-13 | Phonological distances for linguistic typology and the origin of Indo-European languages
[arXiv] 2026-04-13 | Will a Large Complex System be Stable? Revisited
