[2026-07-01 11:55:30] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-30
正在获取论文...
[arXiv] 2026-06-30 | Symmetry energy of baryon- and neutron-rich nuclear matter
[arXiv] 2026-06-30 | Chemical evolution of the Milky Way disc with radial gas flows: a Lagrangian approach
[arXiv] 2026-06-30 | The well-posedness of stochastic Korteweg--de Vries equations revisited
[arXiv] 2026-06-30 | WaterGen: Decoupling Scene and Medium in Underwater Image Generation
[arXiv] 2026-06-30 | Beyond the Library: An Agentic Framework for Autoformalizing Research Mathematics
[arXiv] 2026-06-30 | ELASTIC: Efficiently Learning to Adaptively Scale Test-Time Compute for Generative Control Policies
[arXiv] 2026-06-30 | UniSAE: Unified Speech Attribute Editing on Speaker, Emotion and Low-Level Content via Discrete Phonetic Posteriorgram Modelling
[arXiv] 2026-06-30 | WildProp: Visual Estimation of Wildlife Body Proportions at Scale
[arXiv] 2026-06-30 | Symplectic leaves of meromorphic Hitchin systems
[arXiv] 2026-06-30 | The Past Is Prologue: A Plug-in Controller for Selective Updates in Sequentially Evolving LLM Memory
[arXiv] 2026-06-30 | Visualizing High-Dimensional Graph Embeddings via Informed Multi-View Projections
[arXiv] 2026-06-30 | Revealing Safety-Critical Scenarios for UTM via Transformer
[arXiv] 2026-06-30 | What Counts as an Error? Dual-Reference Benchmarking for Atypical ASR
[arXiv] 2026-06-30 | Exact Calculation of Two-neutrino Double Beta Decay Rate
[arXiv] 2026-06-30 | Attacking UTMOS: Probing the Robustness of a Speech Quality Assessment Model
[arXiv] 2026-06-30 | CasaMaestro: Multi-View Panoramas for House-Scale 3D Reconstruction
[arXiv] 2026-06-30 | Equivalued affine springer fibers in mixed characteristic
[arXiv] 2026-06-30 | Hybrid Unet-Transformer Model for Generating Stress and Strain Fields from Composite Geometrics
[arXiv] 2026-06-30 | Learning Video Dynamics with Predictive Differentiable Rendering
[arXiv] 2026-06-30 | A Semantic-Layer-Mediated Agent for Natural Language to SQL over Heterogeneous Enterprise Databases
[arXiv] 2026-06-30 | LLM-Driven Personalities for Decision Making in Emergency Simulations
[arXiv] 2026-06-30 | Practical Linear-Time Computation of Smallest Suffixient Sets
[arXiv] 2026-06-30 | CORTEX: Token-Level Hallucination Detection in RAG via Comparative Internal Representations
[arXiv] 2026-06-30 | Partially ordering software licenses
[arXiv] 2026-06-30 | Offline Reinforcement Learning for Fluid Controls: Data-based Multi-observational Policy Extraction
[arXiv] 2026-06-30 | Certified Speculative Execution for Untrusted AI Agents
[arXiv] 2026-06-30 | Bayesian Uncertainty Quantification for Ranked Choice Voting Polls
[arXiv] 2026-06-30 | Estimating the concurrence for quantum states via symmetric measurements
[arXiv] 2026-06-30 | Quantum Imaging via Kurtosis-Difference Weighted Covariance on 2D Camera
[arXiv] 2026-06-30 | Hierarchical Clustering As a Novel Solution to the Notorious Multicollinearity Problem in Observational Causal Inference
[arXiv] 2026-06-30 | Wait, am I Being Fair? Characterizing Deductive Stereotyping and Mitigating It with Fair-GCG
[arXiv] 2026-06-30 | Linguistic Bias Mitigation for Spoofing Detection via Gradient Reversal and A Variational Information Bottleneck
[arXiv] 2026-06-30 | Sensing-Limited Control Under Non-Designable Observation Mechanisms
[arXiv] 2026-06-30 | Resolving superposition in AI for interpretability and cross-modal alignment in patient-neuronal images
[arXiv] 2026-06-30 | Reconfigurable wavelength-encoded stochastic illumination for active hyperspectral imaging
[arXiv] 2026-06-30 | P3MaZe: a Mass-Zero constrained-dynamics formulation of particle-mesh electrostatics
[arXiv] 2026-06-30 | Failure-Based Testing for Deep Reinforcement Learning Agents
[arXiv] 2026-06-30 | Calibrating the Evaluator: Does Probability Calibration Mitigate Preference Coupling in LLM Agent Feedback Loops?
[arXiv] 2026-06-30 | Constant-factor approximation of maximum distance-2 independent set in graphs of bounded merge-width
[arXiv] 2026-06-30 | From Materials Database to Materials Bank: Assetizing Data for AI Driven Materials Innovation
[arXiv] 2026-06-30 | Establishing Compactness as a Population Observable in Gravitational-Wave Astronomy
[arXiv] 2026-06-30 | Language-Assisted Super-Resolution from Real-World Low-Resolution Patches
[arXiv] 2026-06-30 | Running into tension: primordial black holes from ultra-slow-roll inflation, spectral running, and the Hubble tension
[arXiv] 2026-06-30 | Safe Online Learning via Smooth Safety-Structured Policy Composition
[arXiv] 2026-06-30 | A Novel Method for Differential-Algebraic Dynamic Model Discovery in Power Systems: An LLM-Based Multi-Agent Collaborative Framework
[arXiv] 2026-06-30 | Non-invertible symmetries and modular invariance in lattice models
[arXiv] 2026-06-30 | CSO-LLM: Class Subspace Orthogonalization for Post-Training Backdoor Detection and Trigger Inversion in LLMs
[arXiv] 2026-06-30 | Benchmarking Large Language Models on Floating-Point Error Classification
[arXiv] 2026-06-30 | Ferroelectric transmon
[arXiv] 2026-06-30 | Minimizing Quantized Semantic Age of Information (QSAoI) in Foundation Model-Based Semantic Communications
[arXiv] 2026-06-30 | Distance duality relation in symmetric teleparallel gravity
[arXiv] 2026-06-30 | Self-Dual Cyclic Codes with Improved Minimum Distance Estimates via Extending the Chen-Ding Construction
[arXiv] 2026-06-30 | Probabilistic Inversion with Flow Matching
[arXiv] 2026-06-30 | Sequential sparse Gaussian process quantile regression
[arXiv] 2026-06-30 | On existence of a collapsed bubble with surface tension in viscous incompressible fluid
[arXiv] 2026-06-30 | SwiftAudio: Data-Efficient Caption-Only Distillation for One-Step Text-to-Audio Diffusion-based Generation
[arXiv] 2026-06-30 | Semiclassical Backreaction of Massive Quantum Fields in the Spacetime of a Global Monopole
[arXiv] 2026-06-30 | Embodied CAD: Solver-Grounded LLM Agents for Parametric B-Rep Assembly Modeling
[arXiv] 2026-06-30 | HyperVLP: Enhancing Hierarchical Surgical Video-Language Pre-training in Hyperbolic Space
[arXiv] 2026-06-30 | Symmetry-Enforced Ferroelectric Switching of Two-Dimensional Altermagnetism
[arXiv] 2026-06-30 | Obstructions to Total Rainbow Forests in Edge-Colored Graphs
[arXiv] 2026-06-30 | Mapping photon-number regimes in single-emitter lasers
[arXiv] 2026-06-30 | Effect of externally applied resonant magnetic perturbations on resistive tearing modes
[arXiv] 2026-06-30 | Observation of Intrinsic Anderson Localization in Few-Layer ReS$_2$
[arXiv] 2026-06-30 | Agentic-Ideation: Sample Efficient Agentic Trajectories Synthesis for Scientific Ideation Agents
[arXiv] 2026-06-30 | FPGA-based LQG controller and hardware-in-the-loop simulator implementation for nanomechanical systems
[arXiv] 2026-06-30 | Securing the AI Agent: A Unified Framework for Multi-Layer Agent Red Teaming
[arXiv] 2026-06-30 | Probing Memorization of Tabular In-Context Learning
[arXiv] 2026-06-30 | ExPLoRe: Expert Patch-Level Loss Routing for Multi-Objective Masked Image Modeling
[arXiv] 2026-06-30 | Transformers as Bayesian In-Context Experimenters: Smoothness-Adaptive Efficient ATE Estimation
[arXiv] 2026-06-30 | HealthAgentBench: A Unified Benchmark Suite of Realistic Agentic Healthcare Environments for Challenging Frontier AI Agents
[arXiv] 2026-06-30 | $L^p$ Asymptotics of the Möbius Energy Density of Helix Curves
[arXiv] 2026-06-30 | Entanglement Structure Across $\mathbb{Z}_n$ Phase Transitions in 1D Rydberg Atom Arrays
[arXiv] 2026-06-30 | Seeing Through the Weights: Privacy Leakage in Scene Coordinate Regression
[arXiv] 2026-06-30 | Contrastive Regularization of Machine Learning Potentials
[arXiv] 2026-06-30 | Think in English, Answer in Korean: Efficient Adaptation of Multilingual Tool-Using Agents
[arXiv] 2026-06-30 | Diophantine rank stability and non-vanishing of $L$-functions
[arXiv] 2026-06-30 | Effects of confinement in a Brownian gas with simultaneous stochastic resetting and dynamically emergent correlations
[arXiv] 2026-06-30 | PrISM-IQA: Image Quality Assessment Made Practical for Smartphone Photography
[arXiv] 2026-06-30 | An Additive Reference Correction Scheme for the Transcorrelated Method
[arXiv] 2026-06-30 | Stability of the Hydrogen Molecule and Related Issues
[arXiv] 2026-06-30 | What Memory Do GUI Agents Really Need? From Passive Records to Active Task-Driving States
[arXiv] 2026-06-30 | CLExEval: A Human-in-the-Loop Framework for Qualitative Evaluation of LLM Clinical Reasoning
[arXiv] 2026-06-30 | Uncertainty Quantification via Invariant-Measure Conformal Prediction
[arXiv] 2026-06-30 | Memory-Scalable and Hardware-Adaptive Matrix-Free Quantum Simulation
[arXiv] 2026-06-30 | The Invariant Measure of Multiscale Markov Chains via Fast Arborescence Factorization
[arXiv] 2026-06-30 | High-Confidence Minimax Testing with Prescribed Errors
[arXiv] 2026-06-30 | Optimization of perturbation series in QCD for physical quantities using the renormalization group: necessary conditions and partial results
[arXiv] 2026-06-30 | DPPE: Rethinking Camera-Based Positional Encoding for Scaling Multi-View Transformers
[arXiv] 2026-06-30 | A Large-Scale Empirical Evaluation of MMAO Under Fair-Budget Continuous and Discrete Benchmarks
