[2026-02-17 09:41:57] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-16
正在获取论文...
[arXiv] 2026-02-16 | Scaling Transferable Coarse-graining with Mean Force Matching
[arXiv] 2026-02-16 | Universal observable as a signal of chiral anomaly in lattice Weyl fermions
[arXiv] 2026-02-16 | Disentangling Deception and Hallucination Failures in LLMs
[arXiv] 2026-02-16 | Rephasing invariant structure of CP phase for simplified mixing matrices in Fritzsch--Xing parametrization
[arXiv] 2026-02-16 | Zr-based bulk metallic glass clamp cell for high-pressure inelastic neutron scattering
[arXiv] 2026-02-16 | Bell-like States in Classical Optics: A Process-Theoretic and Sheaf-Theoretic (Categorical) Clarification
[arXiv] 2026-02-16 | Uncertainty-Aware Vision-Language Segmentation for Medical Imaging
[arXiv] 2026-02-16 | Parameter-Efficient Fine-Tuning of LLMs with Mixture of Space Experts
[arXiv] 2026-02-16 | Revisiting the Platonic Representation Hypothesis: An Aristotelian View
[arXiv] 2026-02-16 | Madhava's Pi-Series in the Modern Context
[arXiv] 2026-02-16 | Conditional Expectation expression in mean-field SDEs and its applications
[arXiv] 2026-02-16 | LACONIC: Length-Aware Constrained Reinforcement Learning for LLM
[arXiv] 2026-02-16 | A hardware-native time-frequency GKP logical qubit toward fault-tolerant photonic operation
[arXiv] 2026-02-16 | How Well Are State-Dependent Local Projections Capturing Nonlinearities?
[arXiv] 2026-02-16 | D-SECURE: Dual-Source Evidence Combination for Unified Reasoning in Misinformation Detection
[arXiv] 2026-02-16 | Fermionic Stoner-Dicke phase transition in Circuit Quantum Magnetostatics
[arXiv] 2026-02-16 | Synthetic Reader Panels: Tournament-Based Ideation with LLM Personas for Autonomous Publishing
[arXiv] 2026-02-16 | S2D: Selective Spectral Decay for Quantization-Friendly Conditioning of Neural Activations
[arXiv] 2026-02-16 | The higher algebra and geometry of monoidal bicategories
[arXiv] 2026-02-16 | The geometry of invariant learning: an information-theoretic analysis of data augmentation and generalization
[arXiv] 2026-02-16 | The higher order group inverse in a ring
[arXiv] 2026-02-16 | The Multiparameter Frontier: Metrological Hierarchy and Robustness in Dispersive Quantum Interferometry
[arXiv] 2026-02-16 | WavePhaseNet: A DFT-Based Method for Constructing Semantic Conceptual Hierarchy Structures (SCHS)
[arXiv] 2026-02-16 | Establishing the Primary HEFT as a Precision Benchmark for UV-HEFT Matching
[arXiv] 2026-02-16 | The Role of Measured Covariates in Assessing Sensitivity to Unmeasured Confounding
[arXiv] 2026-02-16 | Online Architecture Search for Compressed Sensing based on Hypergradient Descent
