[2026-09-10 13:15:49] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-09
正在获取论文...
[arXiv] 2026-09-09 | Stencil Computation at the Intersection of AI and HPC
[arXiv] 2026-09-09 | AVSRBench: A Multi-Condition AVSR Benchmark
[arXiv] 2026-09-09 | A Novel Scheme for Inter-Satellite Integrated Laser Ranging and Communication in Space-Based GW Detection
[arXiv] 2026-09-09 | Surrogate-accelerated parameterisation of physics-based Li-ion battery models
[arXiv] 2026-09-09 | On the syntomic regulator of the Hesse cubic curves and $p$-adic hypergeometric functions
[arXiv] 2026-09-09 | Learning to Adapt and Calibrate: Score Distribution Alignment for Few-Shot Uncertainty Prediction in Medical VLMs
[arXiv] 2026-09-09 | Positivity and Asymptotics for Chenevier's Orthogonal Polynomials
[arXiv] 2026-09-09 | Sharp local estimates for smooth numbers
[arXiv] 2026-09-09 | Geometry Without Coordinates: LiDAR Diffusion as a 3D Feature Bridge
[arXiv] 2026-09-09 | Kaniadakis Holographic Dark Energy with Particle Horizon as IR Cutoff
[arXiv] 2026-09-09 | Alexandrov-Type Rigidity for Minimal Capillary Hypersurfaces on Rotational Supports
[arXiv] 2026-09-09 | TRACE: Training Reasoning Agents for Causal Exploration with Synthesized Rewards
[arXiv] 2026-09-09 | An $O(1/T^3)$ algorithm for minimizing convex quadratic functions over the $L_1$ ball
[arXiv] 2026-09-09 | Constrained Optimization of Higher-Order Cluster-Expansion Hamiltonians for Alloys Using Simulated Bifurcation
[arXiv] 2026-09-09 | Deformable Object Manipulation under Partial Observability via Real-Time Full-Shape Estimation
[arXiv] 2026-09-09 | SynThermFace: Amplifying Limited Paired Data for Visible-Thermal Face Recognition via Synthetic Data Generation
[arXiv] 2026-09-09 | GANDR: Claim Auditing for Verifiable Legal Answer Generation
[arXiv] 2026-09-09 | Isotropic Embedding Perturbations for Robust Vision Language Encoders
[arXiv] 2026-09-09 | From stardust to interstellar grain growth in the first galaxies: a cosmological transition in dust evolution near z ~ 8.9
[arXiv] 2026-09-09 | Learning Terrain-Adaptive Humanoid Locomotion on Granular Terrain
[arXiv] 2026-09-09 | Associating binary black holes with galactic centres using lensed gravitational waves
[arXiv] 2026-09-09 | Jack Content Operators and the Deformed ${\mathcal W}_{1+\infty}$ Algebra
[arXiv] 2026-09-09 | Singular Forces on the Whole Space: Sobolev Density Thresholds and Energy Approximation
[arXiv] 2026-09-09 | An approximate counterexample to the Barker--Larman problem in dimension $4$
[arXiv] 2026-09-09 | Meme Coin Factories: Uncovering Large-Scale Manipulations on pump.fun
[arXiv] 2026-09-09 | FolDeX: A Physical-World Benchmark for Long-Horizon Robotic Manipulation of Deformable Objects
[arXiv] 2026-09-09 | Spatial sparse sampling-based iterative optimization framework for GNSS Direct Position Estimation
