[2026-08-23 09:21:07] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-22
正在获取论文...
[ACM] 2026-8-22 | MASH-Net: A Multi-Scale Adaptive Shuffle Hybrid Network for Medical Image Segmentation
[ACM] 2026-8-22 | A SERF-OPM Magnetocardiography Feature-Based Model for Early Post-PCI Recovery Assessment in Unstable Angina -- From high-dimensional MCG features to an interpretable continuous recovery score
[ACM] 2026-8-22 | Toll-like Receptor and Gut Microbiome Interactions: A CiteSpace and VOSviewer-based Bibliometric Analysis (2005-2024)
[ACM] 2026-8-22 | Constructive characterisations of the
                    <scp>must</scp>
                    -preorder for asynchrony
[ACM] 2026-8-22 | CAM-Guided Radiology Report Generation
[ACM] 2026-8-22 | Research on Adaptive Motion Control of Snake-Inspired Soft Actuation in Upper Limb Rehabilitation Exoskeletons
[ACM] 2026-8-22 | Medical Large Language Model Based on Dynamic Retrieval-Augmented Generation Strategy
[ACM] 2026-8-22 | Prediction of protein structure based on CNN-BiLstm
[ACM] 2026-8-22 | Evaluation System of Home Pulmonary Rehabilitation Effectiveness for Patients with COPD Based on Wearable Inertial Sensors and Remote Monitoring Platform
[ACM] 2026-8-22 | MFDA-Net: A Multi-scale Frequency-aware Denoising Attention Network for EEG Signal Denoising
[ACM] 2026-8-22 | Interpretable Multi-horizon Risk Stratification for Alzheimer' s Disease: A Clinical Feature-Based Approach Without Neuroimaging
[ACM] 2026-8-22 | PDDock: High-Accuracy Blind Protein-Ligand Docking via Dynamic Pocket Prediction and Adaptive Coordinate Refinement
[ACM] 2026-8-22 | Design of Smart Infusion Assistance System Based on STM32
[ACM] 2026-8-22 | Decentralised and Dynamic Reputation Management Model For Smart Mobility Using A Smart Contract
[ACM] 2026-8-22 | Two-Sample Mendelian Randomization Study on Anxiety Disorders and Angina Pectoris Based on Computational Biology Methods
[ACM] 2026-8-22 | ICER: A Universal Clinical Dual-Loop Agent for Adaptive Evidence Refinement in Long-Context EHRs
