[2026-06-09 11:55:09] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-08
正在获取论文...
[arXiv] 2026-06-08 | A Differentiable Simulation of the Eye for Patient-Specific Strabismus Surgery Planning
[arXiv] 2026-06-08 | Muon Learns More Robust and Transferable Features than Adam
[arXiv] 2026-06-08 | Beyond Accuracy: Community Perspectives on Machine Translation
[arXiv] 2026-06-08 | MAVIS: Multi-Agent Video Retrieval via Structured Video Understanding
[arXiv] 2026-06-08 | Effective QCD model with consistent quasi-gluon treatment : formulation and application
[arXiv] 2026-06-08 | Blowing star formation away in AGN hosts (BAH) -- V: The Feeding-Feedback Cycle in local AGNs as reveled by their stellar populations
[arXiv] 2026-06-08 | Entanglement Generation through Coherent and Non-Coherent Control
[arXiv] 2026-06-08 | ARTGEL: A temperature-regulated electrophoresis platform for quantitative studies of reversible association in gels
[arXiv] 2026-06-08 | Clinically Grounded Privacy Evaluation of Medical LMs
[arXiv] 2026-06-08 | Probabilistically Checking Quantum Proofs, with Interaction
[arXiv] 2026-06-08 | Seeing the Hivemind: A Consensus-Aware Interaction Technique for Mitigating AI Homogenization
[arXiv] 2026-06-08 | Pressure-robust and quasioptimal Discontinuous Galerkin discretisations of the $p$-Stokes problem
[arXiv] 2026-06-08 | A characterization of Projective and Weakly Projective Boolean Algebras
[arXiv] 2026-06-08 | TABVERSE: Benchmarking Cross-Format Table Understanding in LLMs and VLMs
[arXiv] 2026-06-08 | k-Means Clustering in Fingerprint-Based Configuration Selection for Fitting Interatomic Potentials
[arXiv] 2026-06-08 | Search for new physics using single-lepton events with high multiplicities of jets and b jets in proton-proton collisions at $\sqrt{s}$ = 13 TeV
[arXiv] 2026-06-08 | Nonlinear oscillations of the amplitude of energetic-particle induced geodesic acoustic modes
[arXiv] 2026-06-08 | Integrating gene regulatory priors into Transformer attention with scTransformer for interpretable scRNA-seq analysis
[arXiv] 2026-06-08 | Scaling Behaviors of Work Cumulants in Slow Isothermal Processes
[arXiv] 2026-06-08 | An Adaptive Coherent Interferometric Oscillator Based on an Optoelectronic Magnonic Parametric Oscillator
[arXiv] 2026-06-08 | A VideoMAE-v2 Approach to Zero-Shot Traffic Accident Anticipation
[arXiv] 2026-06-08 | A Continuification Approach to CAV Control in Mixed Traffic via Variable Speed Limits
[arXiv] 2026-06-08 | Interpretable Crisis Behavior Analysis Using Mobility and Social Media Data
[arXiv] 2026-06-08 | Hybrid Metaheuristic Combining the Dragonfly Algorithm and Tabu Search for the Traveling Salesman Problem
[arXiv] 2026-06-08 | Relocate and Emulate: Re-Hosting Android's Application Layer
[arXiv] 2026-06-08 | Control problem in millimeter-wave adaptive optics
[arXiv] 2026-06-08 | Local Search on Vertex Coloring for Bipartite Graphs
[arXiv] 2026-06-08 | Guaranteed Fast Implementation of the Split Covariance Intersection Filter: Nested Newton Method Thanks to the Fourth-Order Convexity of w-Optimization
[arXiv] 2026-06-08 | ContextShift: A Controlled Benchmark for Context Dependence in Object Detection
[arXiv] 2026-06-08 | Spectral distortion anisotropies from photon to dark photon conversions
[arXiv] 2026-06-08 | Scaling laws and local enhancements of buoyancy flux in stratified turbulent flows
