[2026-02-04 09:38:05] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-03
正在获取论文...
[arXiv] 2026-02-03 | Mići Princ -- A Little Boy Teaching Speech Technologies the Chakavian Dialect
[arXiv] 2026-02-03 | A third law of thermodynamics is an unnecessary complexity
[arXiv] 2026-02-03 | Estimating measures of information processing during cognitive tasks using functional magnetic resonance imaging
[arXiv] 2026-02-03 | The Necessity of a Unified Framework for LLM-Based Agent Evaluation
[arXiv] 2026-02-03 | Merging Beyond: Streaming LLM Updates via Activation-Guided Rotations
[arXiv] 2026-02-03 | SQUIDPOL: Seoul National University QUadruple Imaging Device for POLarimetry
[arXiv] 2026-02-03 | Distribution-Aware End-to-End Embedding for Streaming Numerical Features in Click-Through Rate Prediction
[arXiv] 2026-02-03 | The long-run returns to breastfeeding
[arXiv] 2026-02-03 | FARTrack: Fast Autoregressive Visual Tracking with High Performance
[arXiv] 2026-02-03 | VIRAL: Visual In-Context Reasoning via Analogy in Diffusion Transformers
[arXiv] 2026-02-03 | Depth Completion in Unseen Field Robotics Environments Using Extremely Sparse Depth Measurements
[arXiv] 2026-02-03 | WebSplatter: Enabling Cross-Device Efficient Gaussian Splatting in Web Browsers via WebGPU
[arXiv] 2026-02-03 | Quantum Trajectory Separation and Attosecond Mapping in Liquid High-Harmonic Generation
[arXiv] 2026-02-03 | Permutation groups and symmetric Hecke algebras
[arXiv] 2026-02-03 | Causal structures of turbulent skin-friction drag in wall-bounded turbulent flows
[arXiv] 2026-02-03 | BinaryDemoire: Moiré-Aware Binarization for Image Demoiréing
[arXiv] 2026-02-03 | Probe-then-Commit Multi-Objective Bandits: Theoretical Benefits of Limited Multi-Arm Feedback
[arXiv] 2026-02-03 | Quantitative sensitivity analysis for Fokker-Planck equation with respect to the Wasserstein distance
[arXiv] 2026-02-03 | Refined invariants for Abelian surfaces: between polynomiality and modularity
[arXiv] 2026-02-03 | Reverse square function estimates for degenerate curves and its applications
[arXiv] 2026-02-03 | Entropic Mirror Monte Carlo
[arXiv] 2026-02-03 | VALUEFLOW: Toward Pluralistic and Steerable Value-based Alignment in Large Language Models
[arXiv] 2026-02-03 | A surprisingly large asymmetric ejection from Mira A
[arXiv] 2026-02-03 | PAMAS: Self-Adaptive Multi-Agent System with Perspective Aggregation for Misinformation Detection
[arXiv] 2026-02-03 | Fully Kolmogorov-Arnold Deep Model in Medical Image Segmentation
[arXiv] 2026-02-03 | Is It Possible to Make Chatbots Virtuous? Investigating a Virtue-Based Design Methodology Applied to LLMs
[arXiv] 2026-02-03 | FinMTM: A Multi-Turn Multimodal Benchmark for Financial Reasoning and Agent Evaluation
[arXiv] 2026-02-03 | Beyond Cropping and Rotation: Automated Evolution of Powerful Task-Specific Augmentations with Generative Models
[arXiv] 2026-02-03 | The High Cost of Data Augmentation for Learning Equivariant Models
[arXiv] 2026-02-03 | AgentDyn: A Dynamic Open-Ended Benchmark for Evaluating Prompt Injection Attacks of Real-World Agent Security System
[arXiv] 2026-02-03 | The Mask of Civility: Benchmarking Chinese Mock Politeness Comprehension in Large Language Models
[arXiv] 2026-02-03 | In Bad Faith: Assessing Discussion Quality on Social Media
[arXiv] 2026-02-03 | Studying the Effect of Schedule Preemption on Dynamic Task Graph Scheduling
[arXiv] 2026-02-03 | Automorphisms and antiautomorphisms of quandles
[arXiv] 2026-02-03 | ProOPF: Benchmarking and Improving LLMs for Professional-Grade Power Systems Optimization Modeling
[arXiv] 2026-02-03 | An effective correction method for droplet volume conservation in direct numerical simulation of droplet-laden turbulence
[arXiv] 2026-02-03 | From Speech-to-Spatial: Grounding Utterances on A Live Shared View with Augmented Reality
[arXiv] 2026-02-03 | Moments of sums of exponentials, beyond CHS
[arXiv] 2026-02-03 | Quantum spin-heat engine with trapped ions
[arXiv] 2026-02-03 | SAES-SVD: Self-Adaptive Suppression of Accumulated and Local Errors for SVD-based LLM Compression
