[2025-12-03 09:14:25] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-02
正在获取论文...
[arXiv] 2025-12-02 | On the ellipticity of the higher rank numerical range
[arXiv] 2025-12-02 | BEVDilation: LiDAR-Centric Multi-Modal Fusion for 3D Object Detection
[arXiv] 2025-12-02 | Singular $α$-attractors
[arXiv] 2025-12-02 | A Lightweight Real-Time Low-Light Enhancement Network for Embedded Automotive Vision Systems
[arXiv] 2025-12-02 | Probing the Microscopic Origin of Toughness in Multiple Polymer Networks
[arXiv] 2025-12-02 | Spinons and Spin-Charge Separation at the Deconfined Quantum Critical Point
[arXiv] 2025-12-02 | The Evolutionary Ecology of Software: Constraints, Innovation, and the AI Disruption
[arXiv] 2025-12-02 | Exceptional Point Dynamics in Photonic Time Crystals for Enhanced Optical Sensing
[arXiv] 2025-12-02 | From Administrative Chaos to Analytical Cohorts: A Three-Stage Normalisation Pipeline for Longitudinal University Administrative Records
[arXiv] 2025-12-02 | Time-series forecasting with multiphoton quantum states and integrated photonics
[arXiv] 2025-12-02 | Congruences for the ratios of Rankin--Selberg $L$-functions
[arXiv] 2025-12-02 | On the distribution of very short character sums
[arXiv] 2025-12-02 | FluxLab: Creating 3D Printable Shape-Changing Devices with Integrated Deformation Sensing
[arXiv] 2025-12-02 | In Silico Development of Psychometric Scales: Feasibility of Representative Population Data Simulation with LLMs
[arXiv] 2025-12-02 | Imperfect molecular detection renormalizes apparent kinetic rates in stochastic gene regulatory networks
[arXiv] 2025-12-02 | Tunable giant Purcell enhancement of quantum light emitters by means of acoustic graphene plasmons
[arXiv] 2025-12-02 | Fast-Decoding Diffusion Language Models via Progress-Aware Confidence Schedules
[arXiv] 2025-12-02 | SDQC: Distributed Quantum Computing Architecture Utilizing Entangled Ion Qubit Shuttling
[arXiv] 2025-12-02 | Correcting for sampling variability in maximum likelihood-based one-sample log-rank tests
[arXiv] 2025-12-02 | Symbolic ω-automata with obligations
[arXiv] 2025-12-02 | Taming Camera-Controlled Video Generation with Verifiable Geometry Reward
[arXiv] 2025-12-02 | MICCAI STSR 2025 Challenge: Semi-Supervised Teeth and Pulp Segmentation and CBCT-IOS Registration
[arXiv] 2025-12-02 | Evidence of Spin-Interference Effects in Exclusive $J/ψ\to e^+e^-$ Photoproduction in Ultraperipheral Heavy-Ion Collisions
[arXiv] 2025-12-02 | Monomorphism-based CGRA Mapping via Space and Time Decoupling
[arXiv] 2025-12-02 | From Dark Sectors to the Axion-Neutrino Connection
[arXiv] 2025-12-02 | promptolution: A Unified, Modular Framework for Prompt Optimization
[arXiv] 2025-12-02 | Steering Vision-Language-Action Models as Anti-Exploration: A Test-Time Scaling Approach
[arXiv] 2025-12-02 | There are no excess one digraphs
[arXiv] 2025-12-02 | Decryption thorough polynomial ambiguity: noise-enhanced high-memory convolutional codes for post-quantum cryptography
[arXiv] 2025-12-02 | Q-triplet characterization of atmospheric time series at Antofagasta: A missing values problem
[arXiv] 2025-12-02 | Designing FAIR Workflows at OLCF: Building Scalable and Reusable Ecosystems for HPC Science
[arXiv] 2025-12-02 | Implementation and Analysis of Quantum Majority Rules under Noisy Conditions
[arXiv] 2025-12-02 | Enhancing Automated Paper Reproduction via Prompt-Free Collaborative Agents
[arXiv] 2025-12-02 | Direct observational evidence that higher-luminosity type 1 active galactic nuclei are most commonly triggered by galaxy mergers
[arXiv] 2025-12-02 | A novel design of general-purpose spectrometer with nucleon polarimeter function
[arXiv] 2025-12-02 | TriLex: A Framework for Multilingual Sentiment Analysis in Low-Resource South African Languages
[arXiv] 2025-12-02 | Gain-Scheduling Data-Enabled Predictive Control for Nonlinear Systems with Linearized Operating Regions
[arXiv] 2025-12-02 | HUD: Hierarchical Uncertainty-Aware Disambiguation Network for Composed Video Retrieval
[arXiv] 2025-12-02 | Stability and Hopf bifurcation analysis of an age-structured SVIRS epidemic model with temporary immunity
[arXiv] 2025-12-02 | Universality and Falsifiability of Quantum Spacetime Decoherence: A Gauge-Invariant Framework for Gravitational-Wave Phase Diffusion
[arXiv] 2025-12-02 | LumiX: Structured and Coherent Text-to-Intrinsic Generation
[arXiv] 2025-12-02 | Devil's Games and $\text{Q}\mathbb{R}$: Continuous Games complete for the First-Order Theory of the Reals
[arXiv] 2025-12-02 | Intrinsic Second-Order Topological Superconductors with Tunable Majorana Zero Modes
[arXiv] 2025-12-02 | Reinforcement learning for irreversible reinsurance problems: the randomized singular control approach
[arXiv] 2025-12-02 | X-ray photon correlation spectroscopy of hydrated lysozyme at elevated pressures
[arXiv] 2025-12-02 | Interplay of phonons, intertwined density waves, and induced spin density wave in trilayer nickelates Pr4-xLaxNi3O10
[arXiv] 2025-12-02 | Design and optimization of zone plates for flying focus applications
[arXiv] 2025-12-02 | Masking Matters: Unlocking the Spatial Reasoning Capabilities of LLMs for 3D Scene-Language Understanding
