[2026-02-25 09:47:46] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-24
正在获取论文...
[arXiv] 2026-02-24 | A Time-Varying and Covariate-Dependent Correlation Model for Multivariate Longitudinal Studies
[arXiv] 2026-02-24 | Topological Floquet Green's function zeros
[arXiv] 2026-02-24 | On Data Engineering for Scaling LLM Terminal Capabilities
[arXiv] 2026-02-24 | Spa3R: Predictive Spatial Field Modeling for 3D Visual Reasoning
[arXiv] 2026-02-24 | Circumventing the CAP Theorem with Open Atomic Ethernet
[arXiv] 2026-02-24 | Revisiting CPL with sign-switching density: to cross or not to cross the NECB
[arXiv] 2026-02-24 | HALO: A Unified Vision-Language-Action Model for Embodied Multimodal Chain-of-Thought Reasoning
[arXiv] 2026-02-24 | RAMSES-MCR: A consistent multi-group treatment of cosmic rays physics in momentum-space with the RAMSES code
[arXiv] 2026-02-24 | TCDA: Robust 2D-DOA Estimation for Defective L-Shaped Arrays
[arXiv] 2026-02-24 | Scaling State-Space Models on Multiple GPUs with Tensor Parallelism
[arXiv] 2026-02-24 | A Benchmark for Deep Information Synthesis
[arXiv] 2026-02-24 | LUMEN: Longitudinal Multi-Modal Radiology Model for Prognosis and Diagnosis
[arXiv] 2026-02-24 | SynthRender and IRIS: Open-Source Framework and Dataset for Bidirectional Sim-Real Transfer in Industrial Object Perception
[arXiv] 2026-02-24 | ReviveMoE: Fast Recovery for Hardware Failures in Large-Scale MoE LLM Inference Deployments
[arXiv] 2026-02-24 | Extending the Kinetic Mass to Higher Orders in $1/m_Q$
[arXiv] 2026-02-24 | An Enhanced Projection Pursuit Tree Classifier with Visual Methods for Assessing Algorithmic Improvements
[arXiv] 2026-02-24 | Vision-Inspired Image Quality Assessment for Radar-Based Human Activity Representations
[arXiv] 2026-02-24 | Experimental and computational studies of the hydrogenation of carbon disulfide (CS2) on ice analogues
[arXiv] 2026-02-24 | Generating twisted Cherednik eigenfunctions
[arXiv] 2026-02-24 | Low eigenvalues of the $p-$Laplacian in general open sets
[arXiv] 2026-02-24 | Ribbon concordance and fibered predecessors, II: the general case
[arXiv] 2026-02-24 | Robustness certificates in data-driven non-convex optimization with additively-uncertain constraints
[arXiv] 2026-02-24 | Stable polynomials and bounded rational functions in the unit ball
[arXiv] 2026-02-24 | Transcoder Adapters for Reasoning-Model Diffing
[arXiv] 2026-02-24 | Online Algorithms with Unreliable Guidance
[arXiv] 2026-02-24 | Probing and Bridging Geometry-Interaction Cues for Affordance Reasoning in Vision Foundation Models
[arXiv] 2026-02-24 | Unconventional spin valve effect in altermagnets induced by Rashba spin orbit coupling and triplet superconductivity
[arXiv] 2026-02-24 | A Secure and Interoperable Architecture for Electronic Health Record Access Control and Sharing
[arXiv] 2026-02-24 | Rethinking Clause Management for CDCL SAT Solvers
[arXiv] 2026-02-24 | Relationship between ideology and language in the Catalan independence context
[arXiv] 2026-02-24 | Don't Ignore the Tail: Decoupling top-K Probabilities for Efficient Language Model Distillation
[arXiv] 2026-02-24 | Pressure Reveals Character: Behavioural Alignment Evaluation at Depth
[arXiv] 2026-02-24 | Infrared spectropolarimetry of a C-class solar flare footpoint plasma -- I. Spectral features and forward modelling
[arXiv] 2026-02-24 | Non-negative persymmetric realizability of certain classes of spectra
[arXiv] 2026-02-24 | Implicit Decision Diagrams
[arXiv] 2026-02-24 | Real-time Motion Segmentation with Event-based Normal Flow
[arXiv] 2026-02-24 | Closed-loop control of a monolithically 3D nano-printed electromagnetic lens scanner with an integrated Hall sensor
[arXiv] 2026-02-24 | Enabling FR2-5G Communication with Dielectric OAM Transmitarrays
[arXiv] 2026-02-24 | Visual Cooperative Drone Tracking for Open-Path Gas Measurements
[arXiv] 2026-02-24 | Preserving Hodge Vectors of Lattice Polytopes
[arXiv] 2026-02-24 | Turing Completeness of GNU find: From mkdir-assisted Loops to Standalone Computation
[arXiv] 2026-02-24 | Entropy stable numerical schemes for divergence diminishing Chew, Goldberger & Low equations for plasma flows
[arXiv] 2026-02-24 | Fluctuation-enhanced electron-phonon coupling in FeSe
[arXiv] 2026-02-24 | Schur-Horn theorem and Ky Fan's minimum principle for symplectic eigenvalues
[arXiv] 2026-02-24 | OrthoDiffusion: A Generalizable Multi-Task Diffusion Foundation Model for Musculoskeletal MRI Interpretation
[arXiv] 2026-02-24 | Gravitational wave radiation from periodic orbits in regular black holes
[arXiv] 2026-02-24 | Adaptive Text Anonymization: Learning Privacy-Utility Trade-offs via Prompt Optimization
[arXiv] 2026-02-24 | A Novel NPT Thermodynamic Integration Scheme to Derive Rigorous Gibbs Free Energies for Crystalline Solids
[arXiv] 2026-02-24 | CHESS: Context-aware Hierarchical Efficient Semantic Selection for Long-Context LLM Inference
[arXiv] 2026-02-24 | Balancing Multiple Objectives in Urban Traffic Control with Reinforcement Learning from AI Feedback
[arXiv] 2026-02-24 | IG-RFT: An Interaction-Guided RL Framework for VLA Models in Long-Horizon Robotic Manipulation
[arXiv] 2026-02-24 | Modeling financial transactions via random walks on temporal networks
[arXiv] 2026-02-24 | F10.7 Index Prediction: A Multiscale Decomposition Strategy with Wavelet Transform for Performance Optimization
[arXiv] 2026-02-24 | Resonant attenuation of surface acoustic waves by a weakly bonded layer
[arXiv] 2026-02-24 | RAYNOVA: 3D-Geometry-Free Auto-Regressive Driving World Modeling with Unified Spatio-Temporal Representation
[arXiv] 2026-02-24 | Grid-Mind: An LLM-Orchestrated Multi-Fidelity Agent for Automated Connection Impact Assessment
[arXiv] 2026-02-24 | Geometric investigation of chaos unfolding in Hamiltonian systems
[arXiv] 2026-02-24 | PRECTR-V2:Unified Relevance-CTR Framework with Cross-User Preference Mining, Exposure Bias Correction, and LLM-Distilled Encoder Optimization
[arXiv] 2026-02-24 | Analytical solutions for long cylindrical shells under radial deformations based on the isotropic relaxed micromorphic continuum
[arXiv] 2026-02-24 | BBQ-to-Image: Numeric Bounding Box and Qolor Control in Large-Scale Text-to-Image Models
[arXiv] 2026-02-24 | Bikelution: Federated Gradient-Boosting for Scalable Shared Micro-Mobility Demand Forecasting
[arXiv] 2026-02-24 | Autonomous Laboratory Agent via Customized Domain-Specific Language Model and Modular AI Interface
[arXiv] 2026-02-24 | Convergent Lifted Lasserre Hierarchy of SDPs for Minimizing Expectation of Piecewise Polynomial Loss over Wasserstein Balls
[arXiv] 2026-02-24 | Programming Shapes with Competing Layered Patterns
[arXiv] 2026-02-24 | PLATOSpec's first results: Three new transiting warm Jupiters from the WINE survey TIC 147027702, TIC 245076932 and TIC 87422071
[arXiv] 2026-02-24 | DANCE: Doubly Adaptive Neighborhood Conformal Estimation
[arXiv] 2026-02-24 | An LLM-driven Scenario Generation Pipeline Using an Extended Scenic DSL for Autonomous Driving Safety Validation
[arXiv] 2026-02-24 | QEDBENCH: Quantifying the Alignment Gap in Automated Evaluation of University-Level Mathematical Proofs
[arXiv] 2026-02-24 | When can we trust untrusted monitoring? A safety case sketch across collusion strategies
[arXiv] 2026-02-24 | Almost cohomology of finite-dimensional Lie rings
[arXiv] 2026-02-24 | A Low Cost Picoseconds Precision Timing and Synchronization Over A Hundred Kilometer
[arXiv] 2026-02-24 | Grade and Cohen-Macaulayness for DG-modules
[arXiv] 2026-02-24 | A Case Study on Runtime Verification of a Continuous Deployment Process
[arXiv] 2026-02-24 | Interaction-aware Representation Modeling with Co-occurrence Consistency for Egocentric Hand-Object Parsing
[arXiv] 2026-02-24 | OptiLeak: Efficient Prompt Reconstruction via Reinforcement Learning in Multi-tenant LLM Services
[arXiv] 2026-02-24 | Is the Trigger Essential? A Feature-Based Triggerless Backdoor Attack in Vertical Federated Learning
[arXiv] 2026-02-24 | Semi-cubical tribes
[arXiv] 2026-02-24 | Quantum feedback algorithms for DNA assembly using FALQON variants
[arXiv] 2026-02-24 | Correcting coherent quantum errors by going with the flow
[arXiv] 2026-02-24 | Integral Inequalities and Rigidity for $V$-Static-Type Equations on Manifolds with Boundary
[arXiv] 2026-02-24 | Toward the $p$-adic Hodge parameters in the potentially crystalline representations of $\mathrm{GL}_n$
[arXiv] 2026-02-24 | An Expert Schema for Evaluating Large Language Model Errors in Scholarly Question-Answering Systems
[arXiv] 2026-02-24 | Self-duality of massless scalar three-point amplitudes
[arXiv] 2026-02-24 | LogicGraph : Benchmarking Multi-Path Logical Reasoning via Neuro-Symbolic Generation and Verification
[arXiv] 2026-02-24 | Is Multi-Distribution Learning as Easy as PAC Learning: Sharp Rates with Bounded Label Noise
[arXiv] 2026-02-24 | Symmetr: a Python package for determining symmetry properties of crystals
[arXiv] 2026-02-24 | Exchangeable Gaussian Processes for Staggered-Adoption Policy Evaluation
[arXiv] 2026-02-24 | Optimal QAM Constellation for Over-the-Air Computation in the Presence of Heavy-Tailed Channel Noise
[arXiv] 2026-02-24 | A Modular Multi-Document Framework for Scientific Visualization and Simulation in Java
[arXiv] 2026-02-24 | The Brauer group of a Stein algebra
[arXiv] 2026-02-24 | Robinson spaces and their representation in low-dimensional metric spaces
[arXiv] 2026-02-24 | International AI Safety Report 2026
[arXiv] 2026-02-24 | Telemetry-Based Server Selection in the Quantum Internet via Cross-Layer Runtime Estimation
[arXiv] 2026-02-24 | Lost in Projection? Gaussian Filtering Recovers Hidden Conformational States
[arXiv] 2026-02-24 | Black hole-Neutron star distinction based on long-term MAXI and Swift study of 42 low mass X-ray binaries
[arXiv] 2026-02-24 | CrystaL: Spontaneous Emergence of Visual Latents in MLLMs
[arXiv] 2026-02-24 | Toward an Agentic Infused Software Ecosystem
[arXiv] 2026-02-24 | A generalization of a result of Hegedüs
[arXiv] 2026-02-24 | Quasi-geostrophic Rayleigh-Bénard convection on the tilted $f$-plane
[arXiv] 2026-02-24 | Perturbative anomalies in quantum mechanics
[IEEE] 2026-2-24 | UAV Joint Scheduling for Optimizing Charging and Data Collection in Wireless Rechargeable Sensor Networks
[IEEE] 2026-2-24 | ECT Imaging Based on Fractional-Order Particle Filtering and Image Super-Resolution
[IEEE] 2026-2-24 | Predefined-Time Coordination Control for Nonlinear Multiagent Systems Governed by Diffusion PDEs Model
[IEEE] 2026-2-24 | IEEE Power &amp; Energy Society Information
[IEEE] 2026-2-24 | Best Papers and Star Reviewers
[IEEE] 2026-2-24 | Online Learning for Fickle Data Streams without Labels_supp1-3665744.pdf
[IEEE] 2026-2-24 | Open-World Verification: A Grand Challenge for Autonomous Systems
[IEEE] 2026-2-24 | Time-invariance of distribution system security region considering flexible resources
[IEEE] 2026-2-24 | Cache-Aware Association Strategies for Energy-Efficient MEC-Enabled IIoT Networks
[IEEE] 2026-2-24 | Dynamic Normalization TD3-Based Task Offloading for UAV-Assisted Collaborative Computing
[IEEE] 2026-2-24 | Beyond Subject-Specific Models in Dynamical Human&amp;#x2013;Machine Interaction: Benchmarking and Optimization Strategies_supp1-3662308.pdf
[IEEE] 2026-2-24 | Test-retest reliability and preliminary reference data for the Virtual Eggs Test in healthy adults
[IEEE] 2026-2-24 | Reconstructing Sparse-view Indoor Scenes in View Space with Global Monocular Prior Alignment_supp2-3667058.mp4
[IEEE] 2026-2-24 | Automatic Phase Calibration for High-Resolution Mmwave Sensing Via Ambient Radio Anchors
[IEEE] 2026-2-24 | Longtime Adaptive Coherent Detection in Heterogeneous Compound-Gaussian Sea Clutter
[IEEE] 2026-2-24 | Organizing Committee
[IEEE] 2026-2-24 | Author Index
[IEEE] 2026-2-24 | Message from General Chair and Program Chairs
[IEEE] 2026-2-24 | Keynotes
[IEEE] 2026-2-24 | On the Design of Weakly Coupled Crossed Ridge Gap Waveguides With Over 3:1 Bandwidth Ratio
[IEEE] 2026-2-24 | An Intelligent Infusion Monitoring System with Capacitively Coupled Contactless Conductivity Detection-based Dual Sensing Capabilities_supp3-3665960.pdf
[IEEE] 2026-2-24 | Laser-induced dewetting of gold thin films on optically engineered substrates_supp1-3665139.docx
[IEEE] 2026-2-24 | ACSAC Capture-the-Flag Organizing Committee: ACSAC 2025
[IEEE] 2026-2-24 | Message from the Patron
[IEEE] 2026-2-24 | Efficient SoC Power Estimation With Machine Learning
[IEEE] 2026-2-24 | Full-Duplex Cooperative Rate-Splitting and Precoding for Finite Blocklength Transmission
[IEEE] 2026-2-24 | Optimization of Sensing Coverage and Resource Efficiency in ISAC Systems
[IEEE] 2026-2-24 | Energy Efficient Tradeoff Scheme for UAV-Assisted Wireless Sensor Network Data Collection
[IEEE] 2026-2-24 | Multi-Site MRI Harmonization via Content-Style Disentanglement
[IEEE] 2026-2-24 | Conventional Zero-Shot Learning with Semantic Graph-Enriched Non-Adversarial Synthetic Features
[IEEE] 2026-2-24 | MOEVIL: Poisoning Experts to Compromise the Safety of Mixture-of-Experts LLMs
[IEEE] 2026-2-24 | Surface Treatment for Wafer Bonding Using Atmospheric Water Vapor Plasma Technology
[IEEE] 2026-2-24 | Reliability Evaluations of Pb-Free Solder Joint Formed Using Sn-Ag-Cu Solder Ball and Sn-Bi-Ag Solder Paste
[IEEE] 2026-2-24 | SVPrompt-MR: An LLM-Based Metamorphic Relation Identification Method with Self-Verification Mechanism
[IEEE] 2026-2-24 | MSPM: A Multi-Strategy Prompting Method for Goal-Oriented Modeling from User Stories
[IEEE] 2026-2-24 | APILOT: Improving the Security and Usability of LLM Code Suggestions via Outdated API Mitigation
[IEEE] 2026-2-24 | PIM-ORAM: Towards Oblivious RAM Primitives in Commodity Processing-In-Memory
[IEEE] 2026-2-24 | Exploring the Role and Practice of Implementation Artificial Intelligence (AI) in ERP Systems: A Bibliometric and Systematic Literature Review
[IEEE] 2026-2-24 | Multi-Agent Proximal Policy Optimization for Dynamic Spectrum Access in Low-Altitude Intelligent Networks
[IEEE] 2026-2-24 | Developing in-House AI Using LSS Simulation and the BCGC Model: A Strategic Innovation Framework
[IEEE] 2026-2-24 | Atmospheric Turbulence Prediction Based on Optimal Feature Extraction and Integrated Long Short-Term Memory Networks
[IEEE] 2026-2-24 | AI-Powered Sensor Fusion and IoT Model for Mitigating Wildlife Threats in Agriculture
[IEEE] 2026-2-24 | Automatic Segmentation and Spatial Feature Extraction for Echogram Labeling in Acoustic Target Classification
[IEEE] 2026-2-24 | Research on the Design of Multi-Unit Power Take-Off System for Wave Energy Converter
[IEEE] 2026-2-24 | Frequency-Domain Anti-Interference Coding for Cognitive Spectrum-Division Transmission Systems
[IEEE] 2026-2-24 | Optimal UHF Sensor Placement for Partial Discharge Localization in Digital Twin Open-Space Substation
[IEEE] 2026-2-24 | Fabrication of Parylene-Aluminum Redistribution Layer Interposer for Sensor Packaging Applications
[IEEE] 2026-2-24 | Enhancing GNN Learning on Relational Databases using Semantic Clustering-based Graph Enrichment
[IEEE] 2026-2-24 | Improving Cache Performance using a Learned Replacement Policy
[IEEE] 2026-2-24 | Autonomous Obstacle Avoidance System for Spider parallel robot Based on Deep learning visual Perception
[IEEE] 2026-2-24 | Human-in-the-Loop AI for Waste Segregation: Accuracy, Equity, and Pathways to Scale
[IEEE] 2026-2-24 | Fed-DCL: A Federated Dual-Continual Learning Framework for Adaptive Electric Power Load Forecasting Under Concept Drift
[IEEE] 2026-2-24 | AI Agents in Healthcare: A Survey of Applications, Resources, and Challenges
[IEEE] 2026-2-24 | Performance Analysis of FAS-Assisted RSMA Communication System
[IEEE] 2026-2-24 | Physics Informed TCN-eKAN for Aeroengine Rotor Anomaly Detection
[IEEE] 2026-2-24 | Sustainable Flexible Wearable Antenna Using Rubber Substrate for Wireless Body Area Networks
