[2026-06-12 12:13:24] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-11
正在获取论文...
[arXiv] 2026-06-11 | Multi-Field Hybrid Retrieval-Augmented Generation for Maritime Accident Root Cause Analysis
[arXiv] 2026-06-11 | Excited-state Properties Beyond the Excitation Energy from Orbital-Optimized Density Functional Calculations II: Absorption Spectra
[arXiv] 2026-06-11 | Thickness-Independent Quantum Geometric Responses Driven by Interlayer Antiferroic Coupling
[arXiv] 2026-06-11 | Switching Hamiltonian Monte Carlo for sampling from mixture distributions
[arXiv] 2026-06-11 | ReSET: Accurate Latency-Critical NVFP4 Reasoning via Step-Aware Temperature Scaling
[arXiv] 2026-06-11 | Historical Seismic Monitoring of EGS and Conventional Geothermal Fields: LBNL Efforts and Lessons Learned
[arXiv] 2026-06-11 | Absorption cross section of a Schwarzschild black hole for a massive vector field
[arXiv] 2026-06-11 | Polar Decoding Tree Pruning Based on Soft Output Extraction
[arXiv] 2026-06-11 | Calibrating simplified vine copulas with a noise contrastive estimation approach
[arXiv] 2026-06-11 | Twist deformations for Hopf coquasigroups
[arXiv] 2026-06-11 | Duty-cycle modulation of the self-sustaining process by spanwise wall oscillation
[arXiv] 2026-06-11 | A Dual-Mode Faust-to-CLAP Compilation System
[arXiv] 2026-06-11 | A Context-Aware Dataset for Stance Detection in Bioethical Controversies on Reddit
[arXiv] 2026-06-11 | Ultrashort Pulse Train Generation on a 100TW Laser Beamline Using a Delay Mask After the Final Focusing Optics
[arXiv] 2026-06-11 | Loss-Shift Transfer via Bayes Quotients
[arXiv] 2026-06-11 | Mental-R1: Aligning LLM Reasoning for Mental Health Assessment
[arXiv] 2026-06-11 | Detecting Explanatory Insufficiency in Learned Representations: A Framework for Representational Vigilance
[arXiv] 2026-06-11 | Redesigning Regularization for Effective Policy Smoothing
[arXiv] 2026-06-11 | Thermodynamics of polymerized vacuum regular black holes in anti-de Sitter spacetime
[arXiv] 2026-06-11 | Entropic Generation of Binary Words
[arXiv] 2026-06-11 | Iterative Visual Thinking: Teaching Vision-Language Models Spatial Self-Correction through Visual Feedback
[arXiv] 2026-06-11 | Computing Joins in the Weak Order of Type B Coxeter Groups: an Algorithmic Approach
[arXiv] 2026-06-11 | Scaling limits of the single-curve interface and outermost loops in the planar random field Ising model
[arXiv] 2026-06-11 | A first-principles approach for predicting infrared optical properties of solids
[arXiv] 2026-06-11 | HyPE: Category-Aware Hypergraph Encoding with Persistent Edge Embeddings for Persona-Grounded Dialogue
[arXiv] 2026-06-11 | Cascade Classification of Dermoscopic Images of Skin Neoplasms with Controllable Sensitivity and External Clinical Validation
[arXiv] 2026-06-11 | Including the Cost of Irreducible Uncertainty in the Policy Compression Framework
[arXiv] 2026-06-11 | NaturalFlow: Reducing Disruptive Pauses for Natural Speech Flow in Simultaneous Speech-to-Speech Translation
[arXiv] 2026-06-11 | Model structures and electron transfer properties of conductive nickel-organic nanoribbons in cable bacteria
[arXiv] 2026-06-11 | Invariance of the Initial Coefficient Differences of Ma-Minda Convex Functions
[arXiv] 2026-06-11 | PP-OCRv6: From 1.5M to 34.5M Parameters, Surpassing Billion-Scale VLMs on OCR Tasks
[arXiv] 2026-06-11 | The Invisible Ink of the Android Malware World: A Longitudinal Study on the Usage of Covert Communication Channels
[arXiv] 2026-06-11 | LEDGER: A Long-Context Benchmark of Corporate Annual Reports for Grounded Financial Retrieval and Extraction
[arXiv] 2026-06-11 | The Graviton Propagator in Asymptotically Safe Gravity with Non-Local Form Factors
[arXiv] 2026-06-11 | Equilibrium Computation in Extensive-Form Games with Stochastic Action Sets
[arXiv] 2026-06-11 | Scale Buys Interpolation, Structure Buys a Horizon: Certified Predictability for Equivariant World Models
[arXiv] 2026-06-11 | Inverse Learning assisted V2I Communication for Intent Based 6G ISAC Vehicular Networks
[arXiv] 2026-06-11 | The Emergence of Autonomous Penetration Capabilities in Large Language Model-Powered AI Systems
[arXiv] 2026-06-11 | A generalised-$k_t$ jet algorithm for Deep Inelastic Scattering
[arXiv] 2026-06-11 | "Is This Not Enough?": Asymmetries in Institutional Accountability and Collective Sensemaking in the Case of Canada's Algorithmic Visa Triage System
[arXiv] 2026-06-11 | Ricci solitons as critical points of quadratic curvature functionals
[arXiv] 2026-06-11 | TWLA: Achieving Ternary Weights and Low-Bit Activations for LLMs via Post-Training Quantization
[arXiv] 2026-06-11 | EA-WM: Event-Aware World Models with Task-Specification Grounding for Long-Horizon Manipulation
[arXiv] 2026-06-11 | SeamEdit: A Black-Box VLM-Agnostic Pipeline for Large-Image Semantic Editing
[arXiv] 2026-06-11 | DIG: Oracle-Guided Directed Input Generation for One-Day Vulnerabilities
[arXiv] 2026-06-11 | GeoCFNet: Geometry-Aware Confidence Field Network for Robot-Assisted Endoscopic Submucosal Dissection
[arXiv] 2026-06-11 | Comparing Commercial Depth Sensor Accuracy for Medical Applications
[arXiv] 2026-06-11 | Exploring fair access to quantum computing
[arXiv] 2026-06-11 | Democracy in the Era of Artificial Intelligence
[arXiv] 2026-06-11 | Diagnostics-guided variance-inflated Fay-Herriot estimation from non-probability samples
[arXiv] 2026-06-11 | Enhanced Target Interaction Area of Helical Plasma Plumes in a Pulsed RF Atmospheric Plasma Jet
[arXiv] 2026-06-11 | Insitu X Ray Photoemission Study of Nb Surface Under Plasma Cleaning During MID T BAKING For SRF Cavities
[arXiv] 2026-06-11 | NavWAM: A Navigation World Action Model for Goal-Conditioned Visual Navigation
[arXiv] 2026-06-11 | The ultra low-frequency spectral properties of bright extended radio galaxies in the 3CRR catalogue
[arXiv] 2026-06-11 | Power-weighted Hardy type integral inequalities with additional terms on finite intervals
[arXiv] 2026-06-11 | Exploring Systems-Thinking Approaches to Loss of Control Risk
[arXiv] 2026-06-11 | Khovanov homology: pro-tangles, derived colimits and spectral sequences
[arXiv] 2026-06-11 | $W-δ-μ$ dual codes and LCD codes
[arXiv] 2026-06-11 | A symmetry theorem for localizable steady solutions of the 3D Euler equations
[arXiv] 2026-06-11 | Symmetric Cooperative Motion in Higher Dimensions
[arXiv] 2026-06-11 | Real-Time Visualization of the Spatiotemporal Dynamics of 3D Solitons
[arXiv] 2026-06-11 | Clustering Node Attributed Networks with Graph Neural Networks and Self Learning
[arXiv] 2026-06-11 | S-GBT: Smooth Growth Bound Tensor for Certified Robustness Against Word Substitution Attacks in NLP
[arXiv] 2026-06-11 | Numerical Hints for Dyon Condensation at $θ=2π$ via Wilson-'t Hooft Loops in $SU(2)$ Yang-Mills Theory
[arXiv] 2026-06-11 | Dopant-induced modifications of the optical properties of GaSe
[arXiv] 2026-06-11 | On the class-breadth conjecture for $p>2$ -groups
[arXiv] 2026-06-11 | Kerr-induced nonreciprocal transparency and group delay in a hybrid cavity magnomechanical system
[arXiv] 2026-06-11 | Optimizing Appliance Scheduling for Solar Energy Management Using Metaheuristic Algorithms
[arXiv] 2026-06-11 | Geometry of non-Hermitian Yang--Mills moduli spaces
[arXiv] 2026-06-11 | Enhanced Photocurrent Response in Epitaxial 0.5PZT-0.5PFN Multiferroic Thin Films
[arXiv] 2026-06-11 | The Influence of Gain and Phase Mismatches on Beam Patterns in Phased Arrays
[arXiv] 2026-06-11 | On the holomorphy of the curvature of planar webs along an invariant curve
[arXiv] 2026-06-11 | Sizing of a grid-forming power converter to improve the small-signal stability of an LCC-HVDC system connected to a weak grid
[arXiv] 2026-06-11 | Stellar Population Spectra Incorporating Detailed Binary Evolution using POSYDON
[arXiv] 2026-06-11 | Finsler structure of Busemann G-spaces
[arXiv] 2026-06-11 | A Note About Algebraic $(s, t)$-Weak Tractability Of Linear Tensor Product Problems In The Worst-Case Setting
