[2026-03-27 09:48:52] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-26
正在获取论文...
[arXiv] 2026-03-26 | VideoTIR: Accurate Understanding for Long Videos with Efficient Tool-Integrated Reasoning
[arXiv] 2026-03-26 | Rethinking Failure Attribution in Multi-Agent Systems: A Multi-Perspective Benchmark and Evaluation
[arXiv] 2026-03-26 | Distributed Real-Time Vehicle Control for Emergency Vehicle Transit: A Scalable Cooperative Method
[arXiv] 2026-03-26 | Framing Data Choices: How Pre-Donation Exploration Design Influence Data Donation Behavior and Decision-Making
[arXiv] 2026-03-26 | MoE-GRPO: Optimizing Mixture-of-Experts via Reinforcement Learning in Vision-Language Models
[arXiv] 2026-03-26 | Sharp Exponent of Stable Standing Waves for the Perturbated Hartree Equation
[arXiv] 2026-03-26 | Unbiased Multimodal Reranking for Long-Tail Short-Video Search
[arXiv] 2026-03-26 | Belief-Driven Multi-Agent Collaboration via Approximate Perfect Bayesian Equilibrium for Social Simulation
[arXiv] 2026-03-26 | Quantum Inspired Vehicular Network Optimization for Intelligent Decision Making in Smart Cities
[arXiv] 2026-03-26 | Terahertz Channel Transmission in Dielectric Waveguide Near PCB Substrate
[arXiv] 2026-03-26 | Design Once, Deploy at Scale: Template-Driven ML Development for Large Model Ecosystems
[arXiv] 2026-03-26 | Nonlinear Model Order Reduction on Quadratic Manifolds via Greedy Algorithms with Dimension-Dependent Regularization
[arXiv] 2026-03-26 | Optimization of Closed-Loop Shallow Geothermal Systems Using Analytical Models
[arXiv] 2026-03-26 | KdV integrability in GUE correlators
[arXiv] 2026-03-26 | New Characterizations of Nonsmooth Convex Functions via Generalized Derivatives
[arXiv] 2026-03-26 | An operator-theory construction on geometric lattices
[arXiv] 2026-03-26 | Beyond Attention Magnitude: Leveraging Inter-layer Rank Consistency for Efficient Vision-Language-Action Models
[arXiv] 2026-03-26 | Logarithmic corrections to the entropy of near-extremal black holes in Einstein-Gauss-Bonnet
[arXiv] 2026-03-26 | Perfectoid pure thresholds of lifts of rational double points
[arXiv] 2026-03-26 | GraphER: An Efficient Graph-Based Enrichment and Reranking Method for Retrieval-Augmented Generation
[arXiv] 2026-03-26 | Normal forms in cubical type theory
[arXiv] 2026-03-26 | The algebra of invariants of a complete path algebra
[arXiv] 2026-03-26 | Test of the essential collapse-locality loophole
[arXiv] 2026-03-26 | Polynomial growth of Sobolev norms of solutions of the fractional NLS equation on \T^d
[arXiv] 2026-03-26 | Data-Driven Modal Decomposition Analysis of Unsteady Flow in a Multi-Stage Turbine
[arXiv] 2026-03-26 | On the Foundations of Trustworthy Artificial Intelligence
[arXiv] 2026-03-26 | Active Calibration of Reachable Sets Using Approximate Pick-to-Learn
[arXiv] 2026-03-26 | Bijectivity of a generalized Pak-Stanley labeling
[arXiv] 2026-03-26 | Dynamics and stochastic resonance in a mathematical model of bistable phosphorylation and nuclear size control
[arXiv] 2026-03-26 | Challenges in Hyperspectral Imaging for Autonomous Driving: The HSI-Drive Case
[arXiv] 2026-03-26 | Lightweight GenAI for Network Traffic Synthesis: Fidelity, Augmentation, and Classification
[arXiv] 2026-03-26 | An Experimental Comparison of the Most Popular Approaches to Fake News Detection
[arXiv] 2026-03-26 | Send the Key in Cleartext: Halving Key Consumption while Preserving Unconditional Security in QKD Authentication
[arXiv] 2026-03-26 | Translation Asymmetry in LLMs as a Data Augmentation Factor: A Case Study for 6 Romansh Language Varieties
[arXiv] 2026-03-26 | Networks of quantum reference frames and the nature of conserved quantities
[arXiv] 2026-03-26 | Modified log-Sobolev inequalities, concentration bounds and uniqueness of Gibbs measures
[arXiv] 2026-03-26 | Advancing weak lensing mass mapping with a mask-aware HEALPix transformer
[arXiv] 2026-03-26 | Quasinormal modes and AdS/CFT correspondence of a rotating BTZ-like black hole in the Einstein-bumblebee gravity
