[2026-03-17 09:50:54] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-16
正在获取论文...
[arXiv] 2026-03-16 | Controlled Langevin Dynamics for Sampling of Feedforward Neural Networks Trained with Minibatches
[arXiv] 2026-03-16 | Deep learning and the rate of approximation by flows
[arXiv] 2026-03-16 | Motivic GUT Part I: Grand Unified Theory of Topological Order
[arXiv] 2026-03-16 | Mitigating Renewable-Induced Risks for Green and Conventional Ammonia Producers through Coordinated Production and Futures Trading
[arXiv] 2026-03-16 | Multi-Scenario User Profile Construction via Recommendation Lists
[arXiv] 2026-03-16 | Autonomous quantum heat engine
[arXiv] 2026-03-16 | NV-Bench: Benchmark of Nonverbal Vocalization Synthesis for Expressive Text-to-Speech Generation
[arXiv] 2026-03-16 | Drift-reduced fluid modeling of rapidly rotating plasmas
[arXiv] 2026-03-16 | Intelligent Co-Design: An Interactive LLM Framework for Interior Spatial Design via Multi-Modal Agents
[arXiv] 2026-03-16 | Active Seriation: Efficient Ordering Recovery with Statistical Guarantees
[arXiv] 2026-03-16 | Lebesgue measure of distance sets with regular pins and multi-scale Mizohata-Takeuchi-type estimates
[arXiv] 2026-03-16 | Low-frequency noise as a probe of microscopic disorder in CVD-grown graphene
[arXiv] 2026-03-16 | On Csanyi's and Arias' Functional for Ground States Energy of Multi-Particle Fermion Systems: Asymptotics
[arXiv] 2026-03-16 | Datasets for Verb Alternations across Languages: BLM Templates and Data Augmentation Strategies
[arXiv] 2026-03-16 | Evaluating the Robustness of Reinforcement Learning based Adaptive Traffic Signal Control
[arXiv] 2026-03-16 | IRAM 04191+1522: a compact proto-brown dwarf binary candidate
[arXiv] 2026-03-16 | Self-Supervised ImageNet Representations for In Vivo Confocal Microscopy: Tortuosity Grading without Segmentation Maps
[arXiv] 2026-03-16 | Weyl asymptotics for singular metrics with a variable boundary degeneracy exponent
[arXiv] 2026-03-16 | A Methodology for Dynamic Parameters Identification of 3-DOF Parallel Robots in Terms of Relevant Parameters
[arXiv] 2026-03-16 | The elliptic three-loop integrals of hadronic vacuum polarization in chiral perturbation theory
[arXiv] 2026-03-16 | On the Nonasymptotic Bounds of Joint Source-Channel Coding with Hierarchical Sources
[arXiv] 2026-03-16 | Small-x TMD distributions initial condition: Nc-dependence and Gaussian approximations
[arXiv] 2026-03-16 | SliceMapper: Intelligent Mapping of O-CU and O-DU onto O-Cloud Sites in 6G O-RAN
[arXiv] 2026-03-16 | Towards physically more comprehensive AGN modelling in cosmological simulations: A MACER-based modification of IllustrisTNG
[arXiv] 2026-03-16 | RIS-Aided RSMA Improves the Latency vs. Energy Trade-off in the Finite Block Length MIMO Downlink
[arXiv] 2026-03-16 | Electric Polarizability of Charged Pions from nHYP Four-Point Functions
[arXiv] 2026-03-16 | A Formal Physical Framework for the Origin of Life: Dissipation-Driven Selection of Evolving Replicators
[arXiv] 2026-03-16 | HYDRA: Unifying Multi-modal Generation and Understanding via Representation-Harmonized Tokenization
[arXiv] 2026-03-16 | SCAN: Sparse Circuit Anchor Interpretable Neuron for Lifelong Knowledge Editing
[arXiv] 2026-03-16 | Multi-Plane Spatially Resolved Phase Structuring Using Optical Communication Modes
[arXiv] 2026-03-16 | Towards Foundation Models for Consensus Rank Aggregation
[arXiv] 2026-03-16 | vCause: Efficient and Verifiable Causality Analysis for Cloud-based Endpoint Auditing
[arXiv] 2026-03-16 | The one-dimensional compressible Navier-Stokes equations in critical regularity spaces
[arXiv] 2026-03-16 | Physically Motivated Knowledge Distillation for Blind Geometric Correction of Side-Scan Sonar Imagery
[arXiv] 2026-03-16 | PiGRAND: Physics-informed Graph Neural Diffusion for Intelligent Additive Manufacturing
[arXiv] 2026-03-16 | Velocity-tunable exciton-photon hybridization in cathodoluminescence
[arXiv] 2026-03-16 | Token Coherence: Adapting MESI Cache Protocols to Minimize Synchronization Overhead in Multi-Agent LLM Systems
[arXiv] 2026-03-16 | Sequential Transport for Causal Mediation Analysis
[arXiv] 2026-03-16 | KiRAS: Keyframe Guided Self-Imitation for Robust and Adaptive Skill Learning in Quadruped Robots
[arXiv] 2026-03-16 | Multimodal Connectome Fusion via Cross-Attention for Autism Spectrum Disorder Classification Using Graph Learning
[arXiv] 2026-03-16 | DAIT: Distillation from Vision-Language Models to Lightweight Classifiers with Adaptive Intermediate Teacher Transfer
[arXiv] 2026-03-16 | Where Digital Meets Place: Deriving Strategies for Curating Mixed Reality Exhibitions in Public Spaces
[arXiv] 2026-03-16 | Localized spatiotemporal reaction-diffusion patterns on a line and a disk arising from a subcritical finite wavenumber Hopf instability
[arXiv] 2026-03-16 | Point-Identification of a Robust Predictor Under Latent Shift with Imperfect Proxies
[arXiv] 2026-03-16 | Introducing the vfunc R package
[arXiv] 2026-03-16 | Storage and selection of multiple chaotic attractors in minimal reservoir computers
[arXiv] 2026-03-16 | Vision-Language Model Based Multi-Expert Fusion for CT Image Classification
[arXiv] 2026-03-16 | An Efficient Cumulative Edge-Detection Method for Image Reconstruction
[arXiv] 2026-03-16 | SNCE: Geometry-Aware Supervision for Scalable Discrete Image Generation
[arXiv] 2026-03-16 | The moment of inertia tensor of an oloid
[arXiv] 2026-03-16 | Context-Aware Sensor Modeling for Asynchronous Multi-Sensor Tracking in Stone Soup
[arXiv] 2026-03-16 | Confusion-Aware In-Context-Learning for Vision-Language Models in Robotic Manipulation
[arXiv] 2026-03-16 | Indirect Question Answering in English, German and Bavarian: A Challenging Task for High- and Low-Resource Languages Alike
[arXiv] 2026-03-16 | From Storage to Steering: Memory Control Flow Attacks on LLM Agents
[arXiv] 2026-03-16 | Generalized Coverage Processes with Infinitely Divisible Finite Dimensional Distributions
[arXiv] 2026-03-16 | Probing a two-dimensional soft ferromagnet Cr$_2$Ge$_2$Te$_6$ by a tuning fork resonator
[arXiv] 2026-03-16 | Look Before Acting: Enhancing Vision Foundation Representations for Vision-Language-Action Models
[arXiv] 2026-03-16 | Tri-Prompting: Video Diffusion with Unified Control over Scene, Subject, and Motion
[arXiv] 2026-03-16 | Benchmarking quantum simulation with neutron-scattering experiments
[arXiv] 2026-03-16 | Perception-Aware Autonomous Exploration in Feature-Limited Environments
[arXiv] 2026-03-16 | SmartSearch: How Ranking Beats Structure for Conversational Memory Retrieval
[arXiv] 2026-03-16 | Robust and Computationally Efficient Linear Contextual Bandits under Adversarial Corruption and Heavy-Tailed Noise
[arXiv] 2026-03-16 | Flat-Band Generation in InAs/GaSb Quantum Wells through Vertically Engineered Heterostructures
[arXiv] 2026-03-16 | Topological localisation and motility of active knots
[arXiv] 2026-03-16 | Computational Concept of the Psyche
[arXiv] 2026-03-16 | QCD-driven dark matter: AQNs formation and observational tests
[arXiv] 2026-03-16 | Benchmarking Machine Learning Approaches for Polarization Mapping in Ferroelectrics Using 4D-STEM
[arXiv] 2026-03-16 | Flow configuration and pressure effects on turbulent premixed hydrogen jet flames
[arXiv] 2026-03-16 | A curvature estimate for holomophic maps on open Riemann surfaces
[arXiv] 2026-03-16 | Learning Latent Proxies for Controllable Single-Image Relighting
[arXiv] 2026-03-16 | Can LLMs Model Incorrect Student Reasoning? A Case Study on Distractor Generation
[arXiv] 2026-03-16 | Kimodo: Scaling Controllable Human Motion Generation
[arXiv] 2026-03-16 | An extreme particle accelerator powered by PSR J1849-0001
[arXiv] 2026-03-16 | Are Dilemmas and Conflicts in LLM Alignment Solvable? A View from Priority Graph
[arXiv] 2026-03-16 | SlovKE: A Large-Scale Dataset and LLM Evaluation for Slovak Keyphrase Extraction
[arXiv] 2026-03-16 | Quantum-Inspired Unitary Pooling for Multispectral Satellite Image Classification
[arXiv] 2026-03-16 | Beyond the Covariance Trap: Unlocking Generalization in Same-Subject Knowledge Editing for Large Language Models
[arXiv] 2026-03-16 | Federated Learning of Binary Neural Networks: Enabling Low-Cost Inference
[arXiv] 2026-03-16 | SIMTERFERE: An optical interferometry simulator for quantifying the coherent flux stability of VLTI/GRAVITY+. Reaching per mill stability: Application to exoplanet spectroscopy
[arXiv] 2026-03-16 | Agentic workflow enables the recovery of critical materials from complex feedstocks via selective precipitation
[arXiv] 2026-03-16 | iDaVIE v1.0: A virtual reality tool for interactive analysis of astronomical data cubes
[arXiv] 2026-03-16 | Standard Model tests with smeared experiment and theory
[arXiv] 2026-03-16 | RSGen: Enhancing Layout-Driven Remote Sensing Image Generation with Diverse Edge Guidance
[arXiv] 2026-03-16 | On the Derivation of Tightly-Coupled LiDAR-Inertial Odometry with VoxelMap
[arXiv] 2026-03-16 | Financial Transaction Retrieval and Contextual Evidence for Knowledge-Grounded Reasoning
[arXiv] 2026-03-16 | Understanding early stages of low-temperature hydrogen-driven direct co-reduction of Fe-Ni mixed oxide thin films at the near atomic scale
[arXiv] 2026-03-16 | Kinematical and dynamical properties of recently discovered bulge and disc star clusters with WINERED
[arXiv] 2026-03-16 | Wave propagation through periodic arrays of freely floating rectangular floes
[arXiv] 2026-03-16 | The Stellar Initial Mass Function down to 0.16M$_{\odot}$ Towards the Small Magellanic Cloud
[arXiv] 2026-03-16 | Deep Reinforcement Learning for Fano Hypersurfaces
[arXiv] 2026-03-16 | Exploring Human Quadruped Locomotion for Exergames
[arXiv] 2026-03-16 | When One-Parameter Dark Energy Makes Neutrinos Physical Again
[arXiv] 2026-03-16 | CLAG: Adaptive Memory Organization via Agent-Driven Clustering for Small Language Model Agents
[arXiv] 2026-03-16 | AnyCrowd: Instance-Isolated Identity-Pose Binding for Arbitrary Multi-Character Animation
[arXiv] 2026-03-16 | Local Urysohn Width: A Topological Complexity Measure for Classification
[arXiv] 2026-03-16 | A Hybrid Modeling Framework for Crop Prediction Tasks via Dynamic Parameter Calibration and Multi-Task Learning
[arXiv] 2026-03-16 | SEA-Vision: A Multilingual Benchmark for Comprehensive Document and Scene Text Understanding in Southeast Asia
[arXiv] 2026-03-16 | SWE-Skills-Bench: Do Agent Skills Actually Help in Real-World Software Engineering?
[arXiv] 2026-03-16 | The Amplitude Dynamics of Impulsive Queues
[arXiv] 2026-03-16 | Using an SU(3)/U(2) Wigner Function to Represent Noisy Spin Ensembles
[ACM] 2026-3-16 | Research on Flight Scheduling Optimization Based on Meta-Heuristic Algorithms
[ACM] 2026-3-16 | Design and Key Technology Research of a "Question-to-Chart/Question-to-Data" Natural Resource Application System Based on Large Language Model
[ACM] 2026-3-16 | Optimize Resource Management for Data Governance using Forecasting Algorithms
[ACM] 2026-3-16 | Developing an Immersive Augmented Reality-Based Coffee-Making Skills Training System for Individuals with Intellectual Disabilities
[ACM] 2026-3-16 | Automated Generation and Dynamic Testing of OOP Practice Problems using Javadoc and Reflection
[ACM] 2026-3-16 | Digital Academic Information System Evaluation Using Agile Methodology and Software Quality Model Assessment
[ACM] 2026-3-16 | A Star Target Trajectory Detection Based on Dynamic Programming and Multistage Hypothesis Testing
[ACM] 2026-3-16 | Hardware-Efficient Activation Approximation based on Error-Sensitivity Analysis for Deep Neural Networks
[IEEE] 2026-3-16 | Online Learning and Control Synthesis for Reachable Paths of Unknown Nonlinear Systems
[IEEE] 2026-3-16 | Analysis of the Near Field by the Fast Physical Optics Method with the Adaptive Mesh Technique
[IEEE] 2026-3-16 | Bioinspired Agile Swimming with a Highly Underactuated Soft Ribbon Fin_supp1-3673909.mp4
[IEEE] 2026-3-16 | Three-Dimensional Evaluation of Abnormal Upper Extremity Joint Coupling Post-Stroke
[IEEE] 2026-3-16 | Integrating Advantage Actor-Critic in Multi-Robot Collaboration_supp1-3674008.mp4
[IEEE] 2026-3-16 | Demand Modeling for Advanced Air Mobility: Challenges, Opportunities, and Future Directions
[IEEE] 2026-3-16 | Robot-Mediated Explainability for CNN-Based Complex Emotion Recognition: Aligning Visual Attributions with Social Robot Behavior for Trust-Aware HRI
[IEEE] 2026-3-16 | Contour-Based Generation and Composite Attention Diffusion for High-Transmission Metasurface Inverse Design
[IEEE] 2026-3-16 | Lightweight Remote Sensing Multispectral Image Compression with Decoupled Interactive Knowledge Distillation
