[2026-08-21 09:29:21] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-20
正在获取论文...
[arXiv] 2026-08-20 | Learning When to Think: Adaptive Reasoning for Test-Time Compute Allocation
[arXiv] 2026-08-20 | Notes on Hydrodynamic Limits and Related Topics
[arXiv] 2026-08-20 | Logarithmic depth compression of Heisenberg Hamiltonian simulation by fan-out parallelization, with built-in error detection
[arXiv] 2026-08-20 | Boundary layers and vanishing diffusivity in run-and-tumble models
[arXiv] 2026-08-20 | Intersecting families of permutations with a fixed number of cycles
[arXiv] 2026-08-20 | A Bayesian Edge-Space Framework for Whole-Connectome Inference in Multisite Autism Neuroimaging
[arXiv] 2026-08-20 | Directional Subdifferentials of the Value Function in Asplund Spaces
[arXiv] 2026-08-20 | SPT-3G+: A Cosmic Microwave Background Experiment for the South Pole Telescope
[arXiv] 2026-08-20 | Novel models of trait evolution via an expansion of Lande's fitness function: The Ornstein-Uhlenbeck process meets the Little Prince's boa
[arXiv] 2026-08-20 | Intensity-based scattering correction enables in vivo two-photon imaging beyond 1 mm
[arXiv] 2026-08-20 | Electronic Navigational Chart Change Classification
[arXiv] 2026-08-20 | On the proof of Bray's conjecture
[arXiv] 2026-08-20 | Explainability by Design: Structured Kolmogorov-Arnold Networks over Probabilistic Attributes for Speech Deepfake Source Tracing
[arXiv] 2026-08-20 | A Computationally Efficient Likelihood Approximation for Target Tracking in Time-Varying Multipath Channels
[arXiv] 2026-08-20 | A note on 4-forms in 8-dimensions
[arXiv] 2026-08-20 | Floquet Theory for Light-Driven Rotation of Dipolar and Multipolar Particles
[arXiv] 2026-08-20 | From Agent Behaviour to Agent-Friendly Documentation: An Empirical Study of How Coding Agents Discover, Read, and Write Technical Documentation
[arXiv] 2026-08-20 | A Unified Theoretical Framework for Photoemission and Its Inverse: Reciprocity, Spin, and Photon Polarization
[arXiv] 2026-08-20 | An Analytical Two Incompressible Fluid Star with a Mixed Ordinary Dark Matter Core and an Ordinary Matter Envelope
[arXiv] 2026-08-20 | Exact Algebraic Computation of Learning Coefficients for Two-Dimensional Singular Models
[arXiv] 2026-08-20 | Ask Self, Ask Others: Relation Is All You Need
[arXiv] 2026-08-20 | FormalTCS: Benchmarking End-to-End Frontier Formal Theoretical Computer Science Research of Large Language Models
