[2026-04-08 10:02:51] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-07
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202604070000+TO+202604072359%5D&sortBy=relevance&sortOrder=descending&max_results=100 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[ACM] 2026-4-7 | Analyzing Deviations from Monotonic Trends through Database Repair
[IEEE] 2026-4-7 | Tailoring the Sensitivity-Range Tradeoff in Monolithic InGaN/GaN Temperature Sensing Devices via Indium Content Engineering
[IEEE] 2026-4-7 | Towards Robot Skill Learning and Adaptation with Gaussian Processes_supp1-3681188.mp4
[IEEE] 2026-4-7 | A Simulation-Based Framework for Fatigue-Aware Task Reallocation in Human-Robot Collaboration: Software Verification with 1000-Episode Digital Twin
[IEEE] 2026-4-7 | Real-Time Emulator of Robust Speed Controller for PMSM Wind Energy Conversion via a FATA Morgana Algorithm using OPAL-RT
[IEEE] 2026-4-7 | SIRE-ST: A Swin Transformer-Based Cascaded Model for Urban Rainfall Estimation in Complex Environments
[IEEE] 2026-4-7 | Comparing Patent Network Approaches for Extracting Technology Intelligence
[IEEE] 2026-4-7 | U-NEXT: A User-Centered New Prototype for Walking Excavator Simulator
[IEEE] 2026-4-7 | Interaction Under Whole-Body User Rotations in VR Space_supp1-3680596.pdf
[IEEE] 2026-4-7 | A Two-Stage RF-SVM Model Against SSDF Attack in Cooperative Spectrum Sensing
[IEEE] 2026-4-7 | Wideband Low-RCS Phased Array Antenna Based on Hybrid Reduction Mechanism
[IEEE] 2026-4-7 | Dispersion and Bandgap Analysis of Miniaturized Meander-Lined EBG for Sub-GHz Communication
[IEEE] 2026-4-7 | Emerging Approaches for Integrating Passive Balancing and Charging Strategies in Electric Vehicle Batteries
[IEEE] 2026-4-7 | Multimodal FactCheckNet on Low Resource Social Media Data
[IEEE] 2026-4-7 | The Future of VLSI Testing: Deep Learning Models for Accurate Fault Detection – Review
[IEEE] 2026-4-7 | Design of Camouflage Military Robot using Raspberry Pi and Machine Learning
[IEEE] 2026-4-7 | SmartLib: Next-Generation IoT Access Control for Libraries
[IEEE] 2026-4-7 | Label-Guided Imputation via Forest-Based Proximities for Improved Time Series Classification
[IEEE] 2026-4-7 | MADE-PI: Framework for Effective Anomaly Detection in Federated Learning Applications
[IEEE] 2026-4-7 | Ensuring Multi-Microgrids Emergency Resilience and User-Side Demand via Vehicle-to-X: A Transfer Hierarchical Safe Reinforcement Learning
