[2026-03-13 09:34:24] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-12
正在获取论文...
[arXiv] 2026-03-12 | Rediscussion of eclipsing binaries. Paper XXIX. The F-type twin system BS Draconis
[arXiv] 2026-03-12 | Cross-Context Review: Improving LLM Output Quality by Separating Production and Review Sessions
[arXiv] 2026-03-12 | Comparison of Bar Formation Mechanisms. IIIA. The role of classical bulges in spontaneous bar formation
[arXiv] 2026-03-12 | Cornserve: A Distributed Serving System for Any-to-Any Multimodal Models
[arXiv] 2026-03-12 | Measurement-Induced State transitions in Inductively-Shunted Transmons
[arXiv] 2026-03-12 | On Information Self-Locking in Reinforcement Learning for Active Reasoning of LLM agents
[arXiv] 2026-03-12 | Human-Centred LLM Privacy Audits: Findings and Frictions
[arXiv] 2026-03-12 | Spatiotemporal crystallization of an active fluid
[arXiv] 2026-03-12 | Critical Unstable Qubits in Particle Physics
[arXiv] 2026-03-12 | A Cloudy Fit to the Atmosphere of WASP-107 b
[arXiv] 2026-03-12 | Dr. SHAP-AV: Decoding Relative Modality Contributions via Shapley Attribution in Audio-Visual Speech Recognition
[arXiv] 2026-03-12 | HPC Containers for EBRAINS: Towards Portable Cross-Domain Software Environment
[arXiv] 2026-03-12 | Frequentist Consistency of Prior-Data Fitted Networks for Causal Inference
[arXiv] 2026-03-12 | Return of the technicolour
[arXiv] 2026-03-12 | Assessing the robustness of amortized simulation-based inference to transient noise in gravitational-wave ringdowns
[arXiv] 2026-03-12 | A Joint JSCC-Resource Allocation Framework for QoS-Aware Semantic Communication in LEO Satellite-based EO Missions
[arXiv] 2026-03-12 | Efficient Generative Modeling with Unitary Matrix Product States Using Riemannian Optimization
[arXiv] 2026-03-12 | Geometric inequalities and the Alexandrov-Bakelman-Pucci technique
[arXiv] 2026-03-12 | Thermodynamic Descriptors from Molecular Dynamics as Machine Learning Features for Extrapolable Property Prediction
[arXiv] 2026-03-12 | Deep Learning-Based Metamodeling of Nonlinear Stochastic Dynamic Systems under Parametric and Predictive Uncertainty
[arXiv] 2026-03-12 | Sensitivity to Axion-like Particle dark matter with very-high-energy gamma-ray observations of Active Galactic Nuclei located behind Galaxy Clusters
[arXiv] 2026-03-12 | Propagation of Two-Photon Zernike States in Atmospheric Turbulence
[arXiv] 2026-03-12 | The twin-jet system in the FRII radio galaxy 3C 452: A sub-parsec scale VLBI study
[arXiv] 2026-03-12 | Quantum simulation of Liouville equation in geometrical optics with partial transmission and reflection via Schrödingerization
[arXiv] 2026-03-12 | LABSHIELD: A Multimodal Benchmark for Safety-Critical Reasoning and Planning in Scientific Laboratories
[arXiv] 2026-03-12 | HomeSafe-Bench: Evaluating Vision-Language Models on Unsafe Action Detection for Embodied Agents in Household Scenarios
[arXiv] 2026-03-12 | Multimodal Emotion Recognition via Bi-directional Cross-Attention and Temporal Modeling
[arXiv] 2026-03-12 | Energy Prediction on Sloping Ground for Quadruped Robots
[arXiv] 2026-03-12 | CHiL(L)Grader: Calibrated Human-in-the-Loop Short-Answer Grading
[arXiv] 2026-03-12 | Resurfacing Paralinguistic Awareness in Large Audio Language Models
[arXiv] 2026-03-12 | Exhaustive Circuit Mapping of a Single-Cell Foundation Model Reveals Massive Redundancy, Heavy-Tailed Hub Architecture, and Layer-Dependent Differentiation Control
[arXiv] 2026-03-12 | SNAP-V: A RISC-V SoC with Configurable Neuromorphic Acceleration for Small-Scale Spiking Neural Networks
[arXiv] 2026-03-12 | Fair Learning for Bias Mitigation and Quality Optimization in Paper Recommendation
[arXiv] 2026-03-12 | Spin Model for Quantum Annealing with Kerr Parametric Oscillators
[arXiv] 2026-03-12 | Overdamping of Neutron-Mirror-Neutron Transitions in Neutron Stars
[arXiv] 2026-03-12 | Removable singularities of Yang-Mills-Higgs fields in higher dimensions
[arXiv] 2026-03-12 | Indirect and Direct Multiuser Hybrid Beamforming for Far-Field and Near-Field Communications: A Deep Learning Approach
[arXiv] 2026-03-12 | PicoSAM3: Real-Time In-Sensor Region-of-Interest Segmentation
[arXiv] 2026-03-12 | EnTransformer: A Deep Generative Transformer for Multivariate Probabilistic Forecasting
[arXiv] 2026-03-12 | Think While Watching: Online Streaming Segment-Level Memory for Multi-Turn Video Reasoning in Multimodal Large Language Models
[arXiv] 2026-03-12 | Multi-branch Shell Models of Two-Dimensional Turbulence exhibit Dual Energy-Enstrophy Cascades
[arXiv] 2026-03-12 | Beyond the Limits of Rigid Arrays: Flexible Intelligent Metasurfaces for Next-Generation Wireless Networks
[arXiv] 2026-03-12 | Weak Solutions to the complex Monge-Ampère flows on compact Kähler manifolds : general measures on the right-hand side
[arXiv] 2026-03-12 | ELISA: An Interpretable Hybrid Generative AI Agent for Expression-Grounded Discovery in Single-Cell Genomics
[arXiv] 2026-03-12 | CreativeBench: Benchmarking and Enhancing Machine Creativity via Self-Evolving Challenges
[arXiv] 2026-03-12 | You Told Me to Do It: Measuring Instructional Text-induced Private Data Leakage in LLM Agents
[arXiv] 2026-03-12 | Multi-Station WiFi CSI Sensing Framework Robust to Station-wise Feature Missingness and Limited Labeled Data
[arXiv] 2026-03-12 | Direct-to-Device Connectivity for Integrated Communication, Navigation and Surveillance
[arXiv] 2026-03-12 | Origin and Propagation of Spin-orbit Torques in Pt/Co/Cu/NiFe/Capping Multilayers
[arXiv] 2026-03-12 | Strong optical nonreciprocity in a photonic crystal composed of spinning cylinders
[arXiv] 2026-03-12 | A Decade of Generative Adversarial Networks for Porous Material Reconstruction
[arXiv] 2026-03-12 | Phase Retrieval using Nonlinear Curvature Sensing within Convergent Beams
[arXiv] 2026-03-12 | Towards High-Fidelity CAD Generation via LLM-Driven Program Generation and Text-Based B-Rep Primitive Grounding
[arXiv] 2026-03-12 | Large language models for optical network O&M: Agent-embedded workflow for automation
[arXiv] 2026-03-12 | Energy dependence of the X-ray power spectrum in NGC4051 and NGC4395
[arXiv] 2026-03-12 | Automated Detection of Malignant Lesions in the Ovary Using Deep Learning Models and XAI
[arXiv] 2026-03-12 | Temperature-insensitive tunable and stable Fabry-Perot cavity for atomic physics
[arXiv] 2026-03-12 | The impact of baryons on weak lensing statistics as a function of halo mass and radius
[arXiv] 2026-03-12 | Uniqueness of imaginarity-assisted transformation from computationally universal to strictly universal quantum computation
[arXiv] 2026-03-12 | RADAR: Closed-Loop Robotic Data Generation via Semantic Planning and Autonomous Causal Environment Reset
[arXiv] 2026-03-12 | HiSync: Spatio-Temporally Aligning Hand Motion from Wearable IMU and On-Robot Camera for Command Source Identification in Long-Range HRI
[arXiv] 2026-03-12 | Partitioning Israeli Municipalities into Politically Homogeneous Cantons: A Constrained Spatial Clustering Approach
[arXiv] 2026-03-12 | The Carnot Bound: Limits and Possibilities for Bandwidth-Efficient Consensus
[arXiv] 2026-03-12 | Language Generation with Replay: A Learning-Theoretic View of Model Collapse
[arXiv] 2026-03-12 | A Further Efficient Algorithm with Best-of-Both-Worlds Guarantees for $m$-Set Semi-Bandit Problem
[arXiv] 2026-03-12 | Enumerating All Directed Spanning Trees in Optimal Time
[arXiv] 2026-03-12 | Causal Influence Maximization with Steady-State Guarantees
[arXiv] 2026-03-12 | Modeling Trial-and-Error Navigation With a Sequential Decision Model of Information Scent
[arXiv] 2026-03-12 | Comparison of Motivic Homotopy Theories
