[2026-02-05 09:38:32] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-04
正在获取论文...
[arXiv] 2026-02-04 | Bayesian PINNs for uncertainty-aware inverse problems (BPINN-IP)
[arXiv] 2026-02-04 | Heavy-quark production in deep-inelastic scattering -- Mellin moments of structure functions
[arXiv] 2026-02-04 | Can Theory-Informed Message Framing Drive Honest and Motivated Performance with Better Assessment Experiences in a Remote Assessment?
[arXiv] 2026-02-04 | What's in a Benchmark? The Case of SWE-Bench in Automated Program Repair
[arXiv] 2026-02-04 | Basis Criteria for Extending Generalized Splines
[arXiv] 2026-02-04 | Hand Gesture Recognition from Doppler Radar Signals Using Echo State Networks
[arXiv] 2026-02-04 | Machine Learning-Driven Crystal System Prediction for Perovskites Using Augmented X-ray Diffraction Data
[arXiv] 2026-02-04 | Normalizing Speed-accuracy Biases in 2D Pointing Tasks with Better Calculation of Effective Target Widths
[arXiv] 2026-02-04 | Disordered systems and (subcritical) polynomial chaos with heavy-tail disorder
[arXiv] 2026-02-04 | Fine-Grained Activation Steering: Steering Less, Achieving More
[arXiv] 2026-02-04 | From Main Sequence Binary to Blast: MESA Modeling of the Double-Detonation Progenitor PTF1~J2238+7430
[arXiv] 2026-02-04 | Integrated Exploration and Sequential Manipulation on Scene Graph with LLM-based Situated Replanning
[arXiv] 2026-02-04 | SPEAR: An Engineering Case Study of Multi-Agent Coordination for Smart Contract Auditing
[arXiv] 2026-02-04 | Med-MMFL: A Multimodal Federated Learning Benchmark in Healthcare
[arXiv] 2026-02-04 | Theory of Speciation Transitions in Diffusion Models with General Class Structure
[arXiv] 2026-02-04 | Performative Learning Theory
[arXiv] 2026-02-04 | Unit Shiha Distribution and its Applications to Engineering and Medical Data
[arXiv] 2026-02-04 | Convivial Fabrication: Towards Relational Computational Tools For and From Craft Practices
[arXiv] 2026-02-04 | Blockchain Federated Learning for Sustainable Retail: Reducing Waste through Collaborative Demand Forecasting
[arXiv] 2026-02-04 | On the local nature of the de Almeida-Thouless line for mixed \(p\)-spin glasses
[arXiv] 2026-02-04 | Light deflection in the gravimagnetic dipole spacetime
[arXiv] 2026-02-04 | Revealing the interfacial kinetic mechanisms in high-entropy doped Na$_3$V$_2$(PO$_4$)$_3$ through electrochemical investigation and distribution of relaxation times
[arXiv] 2026-02-04 | Flexocurrent-induced magnetization: Strain gradient-induced magnetization in time-reversal symmetric systems
[arXiv] 2026-02-04 | On the pure traction problem of linear elasticity: a regularized formulation and its robust approximation
[arXiv] 2026-02-04 | Quantum-Assisted Design of Space-Terrestrial Integrated Networks
[arXiv] 2026-02-04 | Improved Fluid Modeling of Space Debris Generated Ion-Acoustic Precursor Solitons
