[2026-07-30 11:01:00] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-29
正在获取论文...
[arXiv] 2026-07-29 | ClockRoPE: Random Fourier Rotations for Temporal Routine Modeling
[arXiv] 2026-07-29 | Diagnosing Fine-Grained Inconsistency Classification in Financial Disclosure Text
[arXiv] 2026-07-29 | Improved Sampling Inequalities for Sparse Grids and High-Dimensional Functions with Effective Low Dimension
[arXiv] 2026-07-29 | Convergence rates for pivoted QR and LU
[arXiv] 2026-07-29 | No Data Is Not No Risk: Visibility Aware Graph-Based Inference of Business Conduct Risk
[arXiv] 2026-07-29 | Enhancing the security of coherent one-way quantum key distribution using CHSH correlations
[arXiv] 2026-07-29 | Imaging non-hydrodynamic modes with jet wakes
[arXiv] 2026-07-29 | Bridging Superfluid and Nonminimally Coupled BEC Dark Matter through RAQUAL
[arXiv] 2026-07-29 | A Scalable AI-Powered System for Explainable Machine Learning Pipelines in Brain Tumor
[arXiv] 2026-07-29 | Ky Fan majorization for binary tensor products
[arXiv] 2026-07-29 | Instantaneous analytic smoothing of rough data for the modified and cubic gKdV equations
[arXiv] 2026-07-29 | Veritas++: Value-aware On-Policy Distillation for Perception-Enhanced AIGI Detection
[arXiv] 2026-07-29 | FreqForcing: Autoregressive Long Video Generation via Spectral Self-Anchoring
[arXiv] 2026-07-29 | It Doesn't Take a Thief: Optical-Scan Voting Systems Fail Even Without Adversaries
[arXiv] 2026-07-29 | Tackling the uncertainty of the nuclear-polarization correction to the bound-electron $g$ factor by means of the nuclear Skyrme interaction
[arXiv] 2026-07-29 | Native CCZ Gate with Fluxonium Qubits and a Microwave-Driven Coupler
[arXiv] 2026-07-29 | Sky sphere representation in language models
[arXiv] 2026-07-29 | Controlled Experiments on Lane Changing by Transitional Autonomous Vehicle: Dataset and Behavioral Insights
[arXiv] 2026-07-29 | Extinction and Survival in an Interval-Activation Frog Model on \mathbb{Z} with Random Survival Parameters and Symmetric Random Walks
[arXiv] 2026-07-29 | Twist-driven helical flattening in nematic elastomer cylinders
[arXiv] 2026-07-29 | J-ATLAS: Javalambre Andromeda and Triangulum Legacy Astrophysical Survey
[arXiv] 2026-07-29 | High-speed, low-noise, multi-megapixel CCDs for next generation X-ray observatories
[arXiv] 2026-07-29 | Braking indices as probes of r-mode spin-down in young pulsars
[arXiv] 2026-07-29 | GPTQ-2D: Cubic-Time Two-Sided Adaptive Rounding
[arXiv] 2026-07-29 | Reselection in the game of best choice
[arXiv] 2026-07-29 | The finite degree formula for normalized volumes
[arXiv] 2026-07-29 | BayesAME: Bayesian Active Model Evaluation
[arXiv] 2026-07-29 | Watershed vs. Region Growing for Individual Tree Segmentation from Airborne LiDAR: An Urban Case Study in Bologna
[arXiv] 2026-07-29 | Reliability Functions of Quantum Soft Covering and Privacy Amplification via a Mixed-Order Rényi Divergence
[arXiv] 2026-07-29 | SymmGrid: Super-Scaling On-Robot Learning with Parallelized Symmetries and Egocentric-Exocentric Visual Perception
[arXiv] 2026-07-29 | Poincaré Beta Balls: Radial Laws, Shell Transforms, and Phase Diagram
[arXiv] 2026-07-29 | Mean-field Pulse Adaptation for the Circulatization of Interacting Rydberg Atoms
[arXiv] 2026-07-29 | TREK: A Travel Reasoning and Evaluation Kit for LLM Agents in Complex Trip Planning
[arXiv] 2026-07-29 | A singular profile for the relativistic heat cost and the special Lagrangian curvature equation
[arXiv] 2026-07-29 | From Crop and Energy Data to Optimized Lighting Scheduling: A Surrogate-Based MILP Framework for Vertical Farming
[arXiv] 2026-07-29 | Measurement of multiple mechanical properties from multi-dimensional signals in nanosecond laser ablation via PINN
[arXiv] 2026-07-29 | Feature Bagging Provides Stability
[arXiv] 2026-07-29 | Credit Cards, Confusion, Computation, and Consequences: What Can We Uncover About Language Model Reasoning?
[arXiv] 2026-07-29 | Spiking Photonic Neurons Based on Two-Section InP Quantum-Well Lasers Integrated on Silicon
[arXiv] 2026-07-29 | An efficient one-loop EFTofLSS framework for Vainshtein-screened Horndeski gravity
[arXiv] 2026-07-29 | VITAL-RAG: Invariance Race for Context Allocation in Coding Agents
[arXiv] 2026-07-29 | Defending Against Backdoor Attacks via Alignment Checking in Model-Contrastive Federated Learning
[arXiv] 2026-07-29 | Latent-IM: Latent Interaction Management for Speech LLMs
[arXiv] 2026-07-29 | Deductive Verification for Earliest Deadline First Scheduler Implementations
