[2026-05-10 10:08:17] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-09
正在获取论文...
[ACM] 2026-5-9 | An NRBO-Enhanced CNN-BiLSTM Framework for Multivariate Photovoltaic Power Forecasting
[ACM] 2026-5-9 | Enhanced cross-modal representation method for multi-modal rumor detection: A fusion framework based on DeBERTa-V3 and ViT-Large
[ACM] 2026-5-9 | A Study on YOLOv11 Clothing Image Segmentation Method Based on Lightweight Group Attention (LWGA)
[ACM] 2026-5-9 | Research on Tea Polyphenol Detection Model Based on Residual Attention Convolutional Neural Network
[ACM] 2026-5-9 | Multi-Region Temporal–Spatial Attention Network for Motor Imagery EEG Decoding
[ACM] 2026-5-9 | Innovative Structural Design and Performance Analysis of Autonomous Planet Exploration Robot
[ACM] 2026-5-9 | Research on Stability Control and Optimization of Parallel Operation of Multiple Chiller Units
[ACM] 2026-5-9 | A Multi-Agent Large Language Model Framework for Marketing Decision-Making with Auditable Attribution Analysis
[ACM] 2026-5-9 | Safety Inspection and Assessment of Metal Structures for the Arc Gate System at Jiaomutang Hydropower Station
[ACM] 2026-5-9 | An Improved RT-DETR Method for Surface Defect Detection of Small Targets on Steel Plates
[ACM] 2026-5-9 | Equivariance and AttentionFlow for Pose-Adaptive Virtual Try-On in Latent Diffusion Models
[ACM] 2026-5-9 | LLM-Guided Monocular 3D Human Pose Estimation via Structured Semantic Priors
[ACM] 2026-5-9 | AGISNet: Axis Adaptive Gated Inception Network with Cross Gated Skip Fusion
[ACM] 2026-5-9 | Few-Shot Emergency Response Equipment Fault Diagnosis for Coal Electricity Integrated Enterprises Based on Structure-Aware Neural Processes
[ACM] 2026-5-9 | Ground-based Cloud Detection with an Efficient Parallel Dilated Convolutional Network
[ACM] 2026-5-9 | Path Planning Based on Topological Maps and Particle Swarm Optimization
[ACM] 2026-5-9 | Fault Diagnosis of Chillers Based on CNN-Transformer Cross-Attention Fusion
[ACM] 2026-5-9 | Fault Diagnosis of Chillers Based on CNN-WOA-SVM
[ACM] 2026-5-9 | Simulated Annealing Driven Particle Swarm Optimization for 3D UAV Path Planning in Urban Environments from the Perspective of Industrial Design
[ACM] 2026-5-9 | CoViMem: Co-Visibility Memory Network for Lifelong Embodied Scene Understanding
[ACM] 2026-5-9 | MAS-DPD: Multi-Agent System for Dark Pattern Detection Using Large Vision-Language Models
[ACM] 2026-5-9 | Adaptive Anomaly Detection in Microservice Systems via Meta-Learning
[ACM] 2026-5-9 | CalibJudge: Calibrated LLM-as-a-Judge for Multilingual RAG with Uncertainty-Aware Scoring
[ACM] 2026-5-9 | Benchmarking the DeepResearch Agent in the Game Domain
[ACM] 2026-5-9 | Robust Obstacle Avoidance Control for Dynamically Adaptive Unmanned Vehicle Formations Under Cyber Attack Perturbations
[ACM] 2026-5-9 | Generative-enhanced Proximal Policy Optimization for Intelligent Traffic Signal Control
[ACM] 2026-5-9 | EFBA: Efficient Fine-grained Backdoor Attack Against Image Captioning
[ACM] 2026-5-9 | Trust the Similar Ones: Belief-Based Q-Learning with Embedding Proximity
[ACM] 2026-5-9 | Research on Posture Control of a Bionic Wheel-legged Robot
[ACM] 2026-5-9 | An Improved Mask-only Transformer Framework for Rainfall-induced Landslide Segmentation using Deep Learning: A Case Study of Zixing Area, China
[ACM] 2026-5-9 | Semi-Automatic Annotation Method for Targets in UAV Optical Sequence Images
[ACM] 2026-5-9 | Multimodal Prediction of Student Bullying Risk Based on a Hierarchical Attention Heterogeneous Graph Neural Network
[ACM] 2026-5-9 | Research on Network Performance and EtherCAT Cycle Matching Optimization for Cloud-based PLC
[ACM] 2026-5-9 | Federated UAV Object Detection via Multi-Dimensional Distillation
[ACM] 2026-5-9 | Emergency Resource Recommendation for Coal Electricity Integrated Enterprises based on Heterogeneous Graphs
[ACM] 2026-5-9 | Low-Altitude Security UAV Detection: Fusing Generative Augmentation with Hypergraph Computing
[ACM] 2026-5-9 | Development and Application of Boiler AI Genie Based on Digital Human and Large Model
[ACM] 2026-5-9 | Lightweight Mining Truck Target Segmentation Method for Mining Environments
[ACM] 2026-5-9 | Small Target Detection for Floating Objects on Water Surface Based on Enhanced RT-DETR
[ACM] 2026-5-9 | An Adaptive Sparrow Search Algorithm Fused with Tent Chaotic Mapping and Cauchy Mutation
[ACM] 2026-5-9 | Real-time Safety Assessment for Deep-sea Manned Submersibles Based on Cloud Model
[ACM] 2026-5-9 | FSGTN: A Fused Spectral–Graph–Temporal Network for EEG-Based Attention Recognition
[ACM] 2026-5-9 | Day-ahead optimal dispatch of a wind-PV-hydrogen-battery integrated energy system
[ACM] 2026-5-9 | A Dual-Agent Collaboration-Based Zero-Shot Model for Rice Disease and Pest Question Intent Recognition
[ACM] 2026-5-9 | An End-to-end Autonomous Driving Framework with Images and Point Clouds Fusion
[ACM] 2026-5-9 | Neural network-based inversion study of thermal plasma jet characteristic parameters
[ACM] 2026-5-9 | Design and Implementation of an Integrated Communication Diagnostic Software for Modern Vessels Network Communication
[ACM] 2026-5-9 | Enhancing Stock Sequence Prediction with Attention Mechanism and Parrot Optimizer Algorithm
[ACM] 2026-5-9 | Rover Localization on Extraterrestrial Surfaces Based on Aerial-Ground Obstacle Distribution Pattern Matching
[ACM] 2026-5-9 | Two-Stage Cross-Lingual Supervised Transfer for Low-Resource Tibetan Rumor Detection
[ACM] 2026-5-9 | Robust Face Anti-Spoofing via Multi-Scale Feature-Guided Wavelet Transform
