[2026-03-19 09:37:26] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-18
正在获取论文...
[arXiv] 2026-03-18 | On the triviality and non-triviality of the automorphism group of a skew brace
[arXiv] 2026-03-18 | Phonon circular birefringence and polarization-filter in Magnetic Topological Insulators
[arXiv] 2026-03-18 | Wasserstein-type Gaussian Process Regressions for Input Measurement Uncertainty
[arXiv] 2026-03-18 | Engineering strong coupling with molecular coatings in optical nanocavities
[arXiv] 2026-03-18 | Asymptotic linear stability of columnar vortices driven by Coriolis force
[arXiv] 2026-03-18 | Thermodynamic accessibility of Li-Mn-Ti-O cation disordered rock-salt phases
[arXiv] 2026-03-18 | On the sensitivity of the subspace predictor to behavioral perturbations
[arXiv] 2026-03-18 | Variational Rectification Inference for Learning with Noisy Labels
[arXiv] 2026-03-18 | Pathology-Aware Multi-View Contrastive Learning for Patient-Independent ECG Reconstruction
[arXiv] 2026-03-18 | $I$-Maximal Variation of Hodge Structure and Jacobian Rings
[arXiv] 2026-03-18 | Graph-Native Cognitive Memory for AI Agents: Formal Belief Revision Semantics for Versioned Memory Architectures
[arXiv] 2026-03-18 | LAAF: Logic-layer Automated Attack Framework A Systematic Red-Teaming Methodology for LPCI Vulnerabilities in Agentic Large Language Model Systems
[arXiv] 2026-03-18 | Full Stack Navigation, Mapping, and Planning for the Lunar Autonomy Challenge
[arXiv] 2026-03-18 | Neuron-Level Emotion Control in Speech-Generative Large Audio-Language Models
[arXiv] 2026-03-18 | ListK: Semantic ORDER BY and LIMIT K with Listwise Prompting
[arXiv] 2026-03-18 | Crossover effects on the phase transitions phenomena translated by arborecences and spectral properties
[arXiv] 2026-03-18 | Detecting the Machine: A Comprehensive Benchmark of AI-Generated Text Detectors Across Architectures, Domains, and Adversarial Conditions
[arXiv] 2026-03-18 | Distributed Adaptive Control for DC Power Distribution in Hybrid-Electric Aircraft: Design and Experimental Validation
[arXiv] 2026-03-18 | Moduli spaces and the algebra of conformal blocks
[arXiv] 2026-03-18 | Language on Demand, Knowledge at Core: Composing LLMs with Encoder-Decoder Translation Models for Extensible Multilinguality
[arXiv] 2026-03-18 | Inducing Epistemological Humility in Large Language Models: A Targeted SFT Approach to Reducing Hallucination
[arXiv] 2026-03-18 | A lightweight framework for characterising extreme precipitation events in climate ensembles
[arXiv] 2026-03-18 | Classification of Smooth Alignable Voss Surfaces
[arXiv] 2026-03-18 | Tightening Cosmological Constraints Within and Beyond $Λ$CDM Using Gamma-Ray Bursts Calibrated with Type Ia Supernovae
[arXiv] 2026-03-18 | Cyberlanguage: Native Communication for the Cyber-Physical-Social-Thinking Fusion Space
[arXiv] 2026-03-18 | UAV-CB: A Complex-Background RGB-T Dataset and Local Frequency Bridge Network for UAV Detection
[arXiv] 2026-03-18 | Kinetic Sobolev Spaces
[arXiv] 2026-03-18 | An approximation notion between P and FPTAS
[arXiv] 2026-03-18 | AR-CoPO: Align Autoregressive Video Generation with Contrastive Policy Optimization
[arXiv] 2026-03-18 | Multi-stage Flow Scheduling for LLM Serving
[arXiv] 2026-03-18 | ${H}$-linear magnetoresistance in the ${T^2}$ resistivity regime of overdoped infinite-layer nickelate La$_{1-x}$Sr$_{x}$NiO$_2$
[arXiv] 2026-03-18 | Large Language Models as a Semantic Interface and Ethical Mediator in Neuro-Digital Ecosystems: Conceptual Foundations and a Regulatory Imperative
[arXiv] 2026-03-18 | KMTNet Synoptic Survey of Southern Sky II: Data Reduction and Real-Time Transient Detection Pipeline
[arXiv] 2026-03-18 | The Phasor Transformer: Resolving Attention Bottlenecks on the Unit Circle
[arXiv] 2026-03-18 | Lower bounds on the blowup rate of vorticity in the Euler equations
[arXiv] 2026-03-18 | General circuit compilation protocol into partially fault-tolerant quantum computing architecture
[arXiv] 2026-03-18 | The Law of Large Numbers for Time-inhomogeneous Markov Chains under General Conditions
[arXiv] 2026-03-18 | From Digital Twins to World Models:Opportunities, Challenges, and Applications for Mobile Edge General Intelligence
[arXiv] 2026-03-18 | Mutually Causal Semantic Distillation Network for Zero-Shot Learning
[arXiv] 2026-03-18 | Promotion and rowmotion in rational Catalan combinatorics
[arXiv] 2026-03-18 | Harnessing the Power of Foundation Models for Accurate Material Classification
[arXiv] 2026-03-18 | PJB: A Reasoning-Aware Benchmark for Person-Job Retrieval
[arXiv] 2026-03-18 | VisionNVS: Self-Supervised Inpainting for Novel View Synthesis under the Virtual-Shift Paradigm
[arXiv] 2026-03-18 | Material Magic Wand: Material-Aware Grouping of 3D Parts in Untextured Meshes
[arXiv] 2026-03-18 | GPUMDkit: A User-Friendly Toolkit for GPUMD and NEP
[arXiv] 2026-03-18 | PACE-RAG: Patient-Aware Contextual and Evidence-based Policy RAG for Clinical Drug Recommendation
[arXiv] 2026-03-18 | Weakly stable irreducible Yang-Mills fields over $S^4$
[arXiv] 2026-03-18 | Quantum Simulation of Non-Hermitian Linear Response
[arXiv] 2026-03-18 | Empirical Likelihood Inference for Sen and Sen--Shorrocks--Thon Indices
[arXiv] 2026-03-18 | DexEXO: A Wearability-First Dexterous Exoskeleton for Operator-Agnostic Demonstration and Learning
[arXiv] 2026-03-18 | A Proposal-Free Query-Guided Network for Grounded Multimodal Named Entity Recognition
[arXiv] 2026-03-18 | Ruyi2.5 Technical Report
[arXiv] 2026-03-18 | Symphony: A Cognitively-Inspired Multi-Agent System for Long-Video Understanding
[arXiv] 2026-03-18 | Beyond bouba/kiki: Multidimensional semantic signals are deeply woven into the fabric of natural language
[arXiv] 2026-03-18 | WINFlowNets: Warm-up Integrated Networks Training of Generative Flow Networks for Robotics and Machine Fault Adaptation
[arXiv] 2026-03-18 | Optical variability and optical--mid-infrared dust lags in Type~1 changing-look AGNs
[arXiv] 2026-03-18 | Near-Field NLOS Localization via Position-Unknown HRIS:From Self-Localization to Target Positioning
[arXiv] 2026-03-18 | SEAL-Tag: Self-Tag Evidence Aggregation with Probabilistic Circuits for PII-Safe Retrieval-Augmented Generation
[arXiv] 2026-03-18 | Forest webs and pattern avoidance
[arXiv] 2026-03-18 | Classifier Pooling for Modern Ordinal Classification
[arXiv] 2026-03-18 | Strain-driven spin mixing and dark-exciton recombination in a neutral Ni2+ doped quantum dot
[arXiv] 2026-03-18 | Towards Infinitely Long Neural Simulations: Self-Refining Neural Surrogate Models for Dynamical Systems
[arXiv] 2026-03-18 | A heterogeneous nonlocal advection--diffusion system
[arXiv] 2026-03-18 | Concept-to-Pixel: Prompt-Free Universal Medical Image Segmentation
[arXiv] 2026-03-18 | Global Uniqueness of Subsonic Flows for the Steady Euler-Poisson System
[arXiv] 2026-03-18 | Critical Scaling of Finite-Size Fluctuations around Marginal Stability in Long-Range Hamiltonian Systems
[arXiv] 2026-03-18 | Pre-auction strategic communication
[arXiv] 2026-03-18 | Predicting Trajectories of Long COVID in Adult Women: The Critical Role of Causal Disentanglement
[arXiv] 2026-03-18 | Limiting behavior of principal eigenvalues for a class of mixed boundary value problems as the measure of the support domain goes to zero
[arXiv] 2026-03-18 | Reconfigurable circuit for mode tunable topological structured light
[arXiv] 2026-03-18 | From Virtual Environments to Real-World Trials: Emerging Trends in Autonomous Driving
[arXiv] 2026-03-18 | AERR-Nav: Adaptive Exploration-Recovery-Reminiscing Strategy for Zero-Shot Object Navigation
[arXiv] 2026-03-18 | Fields with no everywhere good abelian varieties
[arXiv] 2026-03-18 | Chiral-Induced Spin Selectivity Effect in a 1 nm Thin 1,1'-Binaphthyl-2,2'-diyl Hydrogenphosphate Self-Assembled Monolayer on Nickel Oxide
[arXiv] 2026-03-18 | A 3D physico-chemical model of a pre-stellar core. II. Dynamic chemical evolution in a pre-stellar core model using tracer particles
[arXiv] 2026-03-18 | Stochastic set-valued optimization and its application to robust learning
[arXiv] 2026-03-18 | Objective Mispricing Detection for Shortlisting Undervalued Football Players via Market Dynamics and News Signals
[arXiv] 2026-03-18 | Flow Matching Policy with Entropy Regularization
[arXiv] 2026-03-18 | Murmurations, Mestre--Nagao sums, and Convolutional Neural Networks for elliptic curves
[arXiv] 2026-03-18 | Adaptive Guidance for Retrieval-Augmented Masked Diffusion Models
[arXiv] 2026-03-18 | DeepCORO-CLIP: A Multi-View Foundation Model for Comprehensive Coronary Angiography Video-Text Analysis and External Validation
[arXiv] 2026-03-18 | Semi-finite vector bundles on complex tori
[arXiv] 2026-03-18 | Modified Friedmann equations and non-singular cosmologies in $d=4$ non-polynomial quasi-topological gravities
[arXiv] 2026-03-18 | Bi-symphonic maps between Riemannian manifolds
[arXiv] 2026-03-18 | Requirements Volatility in Software Architecture Design: An Exploratory Case Study
[arXiv] 2026-03-18 | Part-Aware Open-Vocabulary 3D Affordance Grounding via Prototypical Semantic and Geometric Alignment
[arXiv] 2026-03-18 | First $^{94}$Nb($n,γ$) Measurement: Constraining the Nucleosynthetic Origin of $^{94}$Mo in Presolar Grains
[arXiv] 2026-03-18 | Automated Grammar-based Algebraic Multigrid Design With Evolutionary Algorithms
[arXiv] 2026-03-18 | 3D Spherical Directly-Connected Antenna Array for Low-Altitude UAV Swarm ISAC
[arXiv] 2026-03-18 | Constructive Peter--Weyl Theory: What is Known and What Remains Open
[arXiv] 2026-03-18 | Temporal Narrative Monitoring in Dynamic Information Environments
[arXiv] 2026-03-18 | A mechanism design overview of Sedna
[arXiv] 2026-03-18 | ReLaGS: Relational Language Gaussian Splatting
[arXiv] 2026-03-18 | An optimal control approach to nonlinear wave speed selection in reaction-diffusion equations
[arXiv] 2026-03-18 | Moduli difference of initial inverse logarithmic coefficients for starlike and convex functions
[arXiv] 2026-03-18 | One-Step Sampler for Boltzmann Distributions via Drifting
[arXiv] 2026-03-18 | Unsupervised Symbolic Anomaly Detection
[arXiv] 2026-03-18 | Gaussian Process Limit Reveals Structural Benefits of Graph Transformers
[arXiv] 2026-03-18 | In Trust We Survive: Emergent Trust Learning
[arXiv] 2026-03-18 | On global dynamics for damped driven Jaynes-Cummings equations
[IEEE] 2026-3-18 | Quantum-Inspired Machine Learning Models for Secure Cryptographic Communication
[IEEE] 2026-3-18 | Hybrid Graph and Attention-Based Models for Multi-Aspect E-Commerce Recommendations: A Comprehensive Review
[IEEE] 2026-3-18 | Efficient ML-Based Prediction for All-Optical AND Gate Design in 2D Photonic Crystals
[IEEE] 2026-3-18 | CAMS-UNet: Context-Aware Multi-Scale U-Net for Brain Tumor Segmentation
[IEEE] 2026-3-18 | HRNet Neural Network-based Localization Method for Spot Center in Free-space Optical Communication
[IEEE] 2026-3-18 | Comparative Evaluation of Machine Learning Models for Hourly Reference Evapotranspiration Prediction
[IEEE] 2026-3-18 | Preface and Committee Member
[IEEE] 2026-3-18 | Research on Anti-Collision Strategy for Automated Loading System Based on 3D LiDAR
[IEEE] 2026-3-18 | Prediction of Aircraft Landing Impact Loads Using a 1D-CNN-BiLSTM-Attention Model
[IEEE] 2026-3-18 | Improving COVID-19 Detection Using Transfer Learning on Chest X-Ray Images with a Modified ResNet50 Architecture
[IEEE] 2026-3-18 | Engineering Gallium-Silk Fibroin-Gelatin Porous Scaffolds for Tissue Regenration
[IEEE] 2026-3-18 | Deep Reinforcement Learning-Based Online Guidance Strategy for Hypersonic Gliding Vehicles
[IEEE] 2026-3-18 | Analysis of Cable-Transformer Resonance Interactions Due to Circuit Breaker Prestriking Transients
[IEEE] 2026-3-18 | Site Selection and Planning Method of Embedded Urban Medium-Voltage DC Intertied System
[IEEE] 2026-3-18 | AI-Driven Automation of Semiconductor Device Design Integrating Silvaco TCAD
